region,target_end_date,strat,type,value,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,target_type
Germany,2020-11-23,,estimate,1.03542197657097,1.02525022723793,0.0771127584503761,0.880714412278629,0.982551610235313,1.01888138303405,1.05297228547668,1.07653928130992,1.13303502525781,case
Germany,2020-11-24,,estimate,1.03844240056858,1.02909669532992,0.0681277991453604,0.902117092007789,0.991217821708667,1.0221881321965,1.05285509448889,1.07517622895528,1.12740758642864,case
Germany,2020-11-25,,estimate,1.04150657140882,1.03358007093188,0.0597175956680638,0.925046454788187,0.998632446691019,1.0267813546074,1.0535855739502,1.07373985819166,1.12005662339129,case
Germany,2020-11-26,,estimate,1.04430368775462,1.03857863340389,0.0518995502008212,0.944274629451755,1.0074044895342,1.03093888083296,1.05571225757176,1.07333369801337,1.11364076469744,case
Germany,2020-11-27,,estimate,1.04762814016151,1.04393361471047,0.04479563818209,0.965459321582805,1.01776364526346,1.03584848142446,1.05774994893772,1.07322883640836,1.11006157860181,case
Germany,2020-11-28,,estimate,1.05145869051936,1.04944961386678,0.0387002412068723,0.983195244251818,1.02667970422044,1.04240484442943,1.06049262660843,1.07514256107553,1.10710452198752,case
Germany,2020-11-29,,estimate,1.05637681464757,1.05489582018378,0.0341229237928051,0.999414480068162,1.03355274580246,1.04752319253006,1.06380559754453,1.07613353463805,1.10887897645826,case
Germany,2020-11-30,,estimate,1.06014528730317,1.06000897481177,0.0316817261173797,1.01061231392651,1.03955571321141,1.05255943720361,1.06751579570721,1.07957619624363,1.11265452634848,case
Germany,2020-12-01,,estimate,1.06314671899097,1.06449924448726,0.0317048149397256,1.0150726666903,1.0431456866008,1.05577054870469,1.07013637925602,1.08434825369569,1.11990616050286,case
Germany,2020-12-02,,estimate,1.06434298781857,1.06806008446967,0.0338211989901118,1.01806821128942,1.0438675853699,1.05685266864459,1.07309071562897,1.08914599957203,1.12948228680984,case
Germany,2020-12-03,,estimate,1.06501372319618,1.07038275607093,0.0371056064645976,1.01917874468948,1.04366359456143,1.05566055338688,1.07418550329924,1.09287410228527,1.14144294209367,case
Germany,2020-12-04,,estimate,1.06369902263121,1.07117548554561,0.040553680225012,1.01776532148369,1.04119268684267,1.05406171962566,1.07454005461719,1.09517082933565,1.14947662193349,case
Germany,2020-12-05,,estimate,1.06090084750433,1.07018634689136,0.0433506918389896,1.01571861769157,1.03768864122808,1.0505048748054,1.07281642881234,1.09585545935836,1.15562965646908,case
Germany,2020-12-06,,estimate,1.05621180778686,1.06722790414606,0.0449220787466226,1.01145138543932,1.03345189724328,1.04635781727226,1.06782987753859,1.09412096323358,1.15496046949016,case
Germany,2020-12-07,,estimate,1.05030411840025,1.0622006606423,0.0449248764756684,1.00768264352741,1.02862295481388,1.04129532074689,1.06188944467707,1.08757474102104,1.15166781173212,case
Germany,2020-12-08,,estimate,1.04292389293346,1.05511176707892,0.0432435779598427,1.00388541328514,1.02312728254965,1.03464807211886,1.05400924218228,1.07975680491626,1.14289334060857,case
Germany,2020-12-09,,estimate,1.03550121502262,1.04608558602858,0.0399990032948259,0.998559342039919,1.01715367043406,1.02776506201734,1.04528024387102,1.06806734610743,1.12568525812941,case
Germany,2020-12-10,,estimate,1.02695225218134,1.03536375255423,0.0355766000606168,0.991412093962067,1.01053680464908,1.01999325950558,1.03500446044654,1.05417193047608,1.10638319706179,case
Germany,2020-12-11,,estimate,1.01721162192055,1.02329410987968,0.0306963947577958,0.984454059584589,1.0028686610046,1.01240789312699,1.02370344599358,1.03775132039979,1.08426679283247,case
Germany,2020-12-12,,estimate,1.00741513637348,1.01030981456555,0.0265324937808402,0.972531998426539,0.993627549249594,1.0025742530418,1.01271546558275,1.0230438488819,1.05867361125919,case
Germany,2020-12-13,,estimate,0.996700543775841,0.996901399408529,0.0246507821247123,0.958055023628865,0.981846429962991,0.991723659504689,1.00203039515499,1.01005968010538,1.03707443796232,case
Germany,2020-12-14,,estimate,0.985682277948249,0.983585289691353,0.0260887756235551,0.938113855634684,0.968122130803133,0.979357572275978,0.992004104221503,1.00078228560328,1.02141887140432,case
Germany,2020-12-15,,estimate,0.975125485497444,0.970872208893697,0.0302521404953549,0.915132287717341,0.952922892977131,0.967299529424472,0.98207296055738,0.992585695753449,1.01238258177861,case
Germany,2020-12-16,,estimate,0.96482649306053,0.959238362742179,0.0356412902800042,0.894296185831889,0.937395952261668,0.954466419073578,0.974669792687969,0.986964580258584,1.00563893262,case
Germany,2020-12-17,,estimate,0.957491954660381,0.949101519632107,0.0409797117692177,0.868350394371942,0.923807780198666,0.943779590995739,0.968547392907781,0.981803835472657,1.00010117609731,case
Germany,2020-12-18,,estimate,0.952143872192905,0.940803199880437,0.0454177674635741,0.85168282177735,0.911796383468511,0.936007297523571,0.963314825977272,0.977543840878587,0.996278942267265,case
Germany,2020-12-19,,estimate,0.9466621978824,0.9345971470692,0.0484087206759195,0.839904826485695,0.902958196830832,0.930774829412625,0.95932723347959,0.97333954233555,0.993232184282313,case
Germany,2020-12-20,,estimate,0.943346804368043,0.930643187874084,0.0496125152617725,0.835260966302817,0.898782550585416,0.927883768894004,0.956262249174244,0.970231097193951,0.989647674585589,case
Germany,2020-12-21,,estimate,0.94239129750801,0.929004760832073,0.0488528802104919,0.835495879118045,0.898514397607743,0.926764945930364,0.953169576511238,0.967589112238336,0.98677018387784,case
Germany,2020-12-22,,estimate,0.942468346957163,0.929648104462354,0.0461094522136085,0.841233194050689,0.901634929042696,0.927971969753776,0.952186524894568,0.965234753242248,0.984353021076154,case
