region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2020-09-06,,estimate,2996.2,3022.7,325.6,2564.7,2784.1,2912.9,3078.4,3210.3,3583.7
Germany,2020-09-07,,estimate,3050.1,3077.3,329.5,2609.1,2836.6,2962.5,3135.1,3268.3,3643.2
Germany,2020-09-08,,estimate,3104,3131.4,331.7,2661.5,2890,3017,3187.5,3326.4,3698.9
Germany,2020-09-09,,estimate,3156.2,3184.4,333.7,2707.3,2943.8,3069.8,3240,3382.9,3762.4
Germany,2020-09-10,,estimate,3207.4,3236.3,336,2751.1,2999.3,3119.9,3289.6,3432.3,3821.1
Germany,2020-09-11,,estimate,3253.4,3281.1,338.3,2797.3,3040.9,3171.1,3336.1,3477.1,3874.8
Germany,2020-09-12,,estimate,3297.3,3325.6,341,2840.7,3082.8,3217.8,3379.8,3527.3,3921.2
Germany,2020-09-13,,estimate,3338.3,3370.1,344,2877.6,3125.6,3262.9,3422.8,3569.1,3968
Germany,2020-09-14,,estimate,3383.1,3415.3,347.5,2919.8,3169.9,3306.1,3467.8,3615.5,4023.2
Germany,2020-09-15,,estimate,3432.3,3462.2,351.4,2954.8,3210.5,3350.7,3517.3,3662.7,4076.8
Germany,2020-09-16,,estimate,3484.1,3512.1,356,2996.7,3258.6,3399.1,3563.5,3715.7,4122.5
Germany,2020-09-17,,estimate,3535.7,3566.5,361.3,3034.3,3310,3453.5,3619.8,3774.3,4183.5
Germany,2020-09-18,,estimate,3597.8,3627.1,367.5,3085.4,3367.6,3511.6,3683.8,3842.9,4260
Germany,2020-09-19,,estimate,3665.2,3696,374.8,3149.2,3433.6,3578.6,3756.6,3921.9,4344.3
Germany,2020-09-20,,estimate,3746.6,3775.2,383.5,3215.5,3506.6,3655.9,3838.3,4003.9,4436.7
Germany,2020-09-21,,estimate,3838.6,3867.2,393.6,3293.8,3594,3739.9,3931.3,4105.9,4553.4
Germany,2020-09-22,,estimate,3944.9,3974.2,405.6,3381.9,3688.8,3846.3,4043.1,4224.9,4682.2
Germany,2020-09-23,,estimate,4069.1,4099.2,419.4,3477.9,3796.7,3964.9,4171.8,4354.1,4828.5
Germany,2020-09-24,,estimate,4210.4,4244.8,434.9,3598.4,3931.5,4105.4,4317.4,4511.1,5015.6
Germany,2020-09-25,,estimate,4378.2,4414.1,452.5,3746.6,4086.4,4266.1,4487.6,4693.6,5214.3
Germany,2020-09-26,,estimate,4572.6,4610.4,472.3,3922.2,4271.1,4452.7,4684.8,4906.4,5460.4
Germany,2020-09-27,,estimate,4799.7,4836.9,494.6,4112.8,4486.5,4674,4918.4,5149.5,5742.8
Germany,2020-09-28,,estimate,5051.1,5097.3,520.1,4335.8,4729,4929.7,5181.6,5421.8,6046.4
Germany,2020-09-29,,estimate,5343.3,5395.4,549.2,4594.4,5005.3,5218.2,5477.9,5734.9,6390.8
Germany,2020-09-30,,estimate,5684.7,5735.2,582.7,4889,5317.9,5542.5,5813.8,6095.8,6771.6
Germany,2020-10-01,,estimate,6061.5,6120.9,621.3,5221.1,5677.2,5919.9,6206.7,6498.7,7221.8
Germany,2020-10-02,,estimate,6481.6,6557.1,665.5,5581,6079.9,6347,6646.7,6955.1,7747.5
Germany,2020-10-03,,estimate,6969.4,7048.3,716,5999.1,6532.2,6819.8,7143.7,7476.2,8340
Germany,2020-10-04,,estimate,7516.4,7599.3,773.1,6468.5,7048,7353.3,7704.8,8055.2,8991.3
Germany,2020-10-05,,estimate,8120.9,8215.3,837.1,6993.7,7611,7945.8,8336,8714.8,9723
Germany,2020-10-06,,estimate,8808.3,8901.4,908.4,7578.4,8243.4,8611,9046.4,9435.1,10520.1
Germany,2020-10-07,,estimate,9558.4,9662.6,987.3,8237,8944.7,9351.3,9826.6,10233.5,11427.9
Germany,2020-10-08,,estimate,10402.7,10504,1074.3,8957.6,9731.7,10164.2,10676.3,11131.9,12421.2
Germany,2020-10-09,,estimate,11306.8,11430.2,1169.8,9748.1,10581.5,11058,11611.6,12119.5,13493
Germany,2020-10-10,,estimate,12327.9,12445.5,1274.4,10621.4,11530.9,12035.2,12651.2,13189.7,14688.8
Germany,2020-10-11,,estimate,13425.7,13552.6,1388.2,11567.6,12560.5,13093.1,13783.1,14375.9,15991
Germany,2020-10-12,,estimate,14617.3,14753.1,1511.3,12580.1,13676.8,14255,14994.7,15663.1,17389.7
Germany,2020-10-13,,estimate,15898,16046.5,1643.4,13695.3,14880.5,15504.6,16313.4,17039.8,18955.6
Germany,2020-10-14,,estimate,17261.1,17429.5,1783.8,14867.2,16156.9,16840.4,17735.8,18502.9,20588.5
Germany,2020-10-15,,estimate,18735,18895.9,1931.6,16140.1,17509.9,18259.3,19199.8,20055.2,22320.7
Germany,2020-10-16,,estimate,20283,20435.6,2086,17445.4,18929.1,19761.9,20775.2,21701.2,24149.5
Germany,2020-10-17,,estimate,21878.7,22034.8,2245.8,18803.9,20406.2,21298,22398.9,23396.4,26025.8
Germany,2020-10-18,,estimate,23468,23675.6,2409.9,20210.1,21961.9,22901.8,24041.2,25107.2,27940.2
Germany,2020-10-19,,estimate,25087.5,25336.3,2576.8,21611,23499.7,24515.2,25736,26866.6,29900.3
Germany,2020-10-20,,estimate,26740.2,26992.3,2744.3,23045,25036.6,26102.4,27415.5,28626.9,31847.8
Germany,2020-10-21,,estimate,28337.2,28616.5,2909.8,24479.5,26549.1,27689.6,29059.5,30383.9,33717.5
Germany,2020-10-22,,estimate,29890.6,30181.2,3069.9,25755.1,28011.7,29170.5,30664.5,32067,35566.9
Germany,2020-10-23,,estimate,31386.5,31659.2,3221.3,26977.2,29366,30591.1,32185.9,33621.8,37252.6
Germany,2020-10-24,,estimate,32781.7,33025.5,3360.8,28136.8,30631,31887,33536.3,35072.5,38716.2
Germany,2020-10-25,,estimate,34006.4,34259,3485.8,29181.7,31756,33058.4,34806.1,36388.6,40162
Germany,2020-10-26,,estimate,35064,35343.1,3594.7,30110.9,32770.2,34143.1,35963.8,37503.4,41385.8
Germany,2020-10-27,,estimate,35968.9,36267.1,3686.6,30852.9,33652.1,35087.1,36888.6,38489.6,42461.5
Germany,2020-10-28,,estimate,36711.5,37026.2,3761.5,31519,34360.9,35811.6,37669.6,39329.1,43473.1
Germany,2020-10-29,,estimate,37328.4,37621.1,3819.9,31934.3,34932.3,36428.8,38278.3,39988,44346.8
