region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2020-09-20,,estimate,1379.5,1384.6,143.2,1155,1286,1344.6,1420,1481,1622
Germany,2020-09-21,,estimate,1027,1031.8,104.6,868,963.8,1001.6,1055,1099,1210
Germany,2020-09-22,,estimate,1475,1480.1,145.9,1240.9,1383.8,1443,1511.4,1577,1725.1
Germany,2020-09-23,,estimate,1715,1723.1,168.9,1463,1609.5,1673,1758,1828.2,2007.1
Germany,2020-09-24,,estimate,2134,2141.2,203.2,1815,2004.8,2083,2186,2272,2485
Germany,2020-09-25,,estimate,2285,2289.2,222.5,1937,2140,2226.6,2336,2423.2,2668.1
Germany,2020-09-26,,estimate,2331.5,2338.8,229.6,1977.9,2183,2275,2388.4,2483,2731.1
Germany,2020-09-27,,estimate,1658,1668,153.5,1432.9,1560,1620,1705,1767.2,1924
Germany,2020-09-28,,estimate,1219,1221.9,117.7,1035,1141,1188,1248,1297,1418
Germany,2020-09-29,,estimate,1735,1743.3,164.5,1486,1630,1694,1774,1853,2029
Germany,2020-09-30,,estimate,2038.5,2046.3,193.3,1746.9,1913.8,1995,2086,2165.2,2371.2
Germany,2020-10-01,,estimate,2574.5,2577.1,240.6,2187.9,2410.8,2515.6,2630,2737,2977.2
Germany,2020-10-02,,estimate,2800,2810.6,264,2397,2626.8,2739,2861.4,2975,3251
Germany,2020-10-03,,estimate,2928.5,2933.2,270.7,2499.9,2754.8,2864,2997,3113,3397
Germany,2020-10-04,,estimate,2145,2150.7,197.9,1841,2015.8,2095,2192,2280,2497.1
Germany,2020-10-05,,estimate,1617,1624.5,152,1380.9,1521.8,1582,1657,1725,1878
Germany,2020-10-06,,estimate,2375.5,2384.3,222.8,2043,2231,2319,2430,2528,2756.1
Germany,2020-10-07,,estimate,2901.5,2896.9,260.8,2483,2716,2831,2959,3064.2,3340.1
Germany,2020-10-08,,estimate,3765,3767.6,344.4,3232.9,3534,3669,3841.4,4005,4347
Germany,2020-10-09,,estimate,4200,4222.4,392.2,3588,3960,4108,4302.4,4463.5,4914
Germany,2020-10-10,,estimate,4517.5,4537.5,416.7,3881.8,4258.8,4410.2,4621,4821.5,5240
Germany,2020-10-11,,estimate,3409,3413.7,319.5,2911,3190.8,3323.6,3492.4,3634.2,3948.1
Germany,2020-10-12,,estimate,2623,2633.9,243,2243,2469.8,2569,2683.4,2794.2,3050.1
Germany,2020-10-13,,estimate,3944.5,3963.6,365.9,3386,3710,3859,4043.4,4191.2,4578.2
Germany,2020-10-14,,estimate,4863.5,4882.4,448.9,4167.8,4586,4758,4973.4,5161.5,5667.4
Germany,2020-10-15,,estimate,6440,6442.1,576.2,5531,6037.5,6278,6588,6800.2,7416
Germany,2020-10-16,,estimate,7318.5,7357.3,660,6337.8,6882.5,7165.2,7499.4,7800.5,8475.1
Germany,2020-10-17,,estimate,7979.5,7984.3,720.2,6841.6,7492,7787.2,8150.4,8447.2,9223.2
Germany,2020-10-18,,estimate,5995,6012.2,552.4,5155,5633,5857.6,6134.4,6369.5,6919
Germany,2020-10-19,,estimate,4659,4678.5,420.6,4007.9,4392.8,4558,4764.4,4949,5376.1
Germany,2020-10-20,,estimate,7012,7014.8,644.2,5943.6,6583.2,6851,7168.4,7446.5,8100.1
Germany,2020-10-21,,estimate,8622,8650.6,767.2,7408,8133,8440.6,8804.4,9157.2,9941
Germany,2020-10-22,,estimate,11391,11390.2,1012.7,9709,10722.8,11139.6,11659.2,12038.5,13091.5
Germany,2020-10-23,,estimate,12711,12718.2,1122.9,10937.5,11959.8,12424.6,12979.4,13456.2,14606.2
Germany,2020-10-24,,estimate,13631,13678.2,1244.2,11706.1,12807,13319.8,13963.2,14493.2,15738.7
Germany,2020-10-25,,estimate,10171.5,10182.6,934.2,8670,9540.8,9911.2,10388.2,10782.2,11738
Germany,2020-10-26,,estimate,7707,7747.2,705.9,6638,7274,7555,7905.4,8201,8961.1
Germany,2020-10-27,,estimate,11353.5,11398.8,997.8,9784,10734.8,11123,11637.8,12071,13025.4
Germany,2020-10-28,,estimate,13715,13740,1223.6,11859,12883,13378.2,13992.4,14517,15786.1
Germany,2020-10-29,,estimate,17474.5,17587.8,1625.7,15110.9,16449,17064.2,17892.2,18605,20409.7
Germany,2020-10-30,,estimate,19035,19126,1738.8,16432.6,17916,18606.6,19519,20244.2,22222.2
Germany,2020-10-31,,estimate,19923,19982,1794.1,17043.6,18761.5,19490.8,20372.2,21188.5,22854.4
Germany,2020-11-01,,estimate,14321,14347.5,1301.2,12310.9,13435.5,13968.6,14669.4,15220,16551.1
Germany,2020-11-02,,estimate,10543,10570.6,952.4,9038.7,9938,10299.6,10755.2,11191,12188.2
Germany,2020-11-03,,estimate,15053.5,15109.2,1353,13056.9,14171.8,14733,15386.2,15939.2,17349.4
Germany,2020-11-04,,estimate,17412,17482.5,1586.3,15023.6,16409.8,17018.6,17812,18506.8,20177.6
Germany,2020-11-05,,estimate,21569,21682.8,1974.1,18600.7,20313.2,21066.6,22103,22947.2,25100.8
Germany,2020-11-06,,estimate,22989,23087.3,2089.7,19797.8,21640.8,22495.4,23547.8,24435.5,26629.1
Germany,2020-11-07,,estimate,23157.5,23223.7,2107.6,19893.4,21774,22678,23702,24648.8,26665.1
Germany,2020-11-08,,estimate,16345,16341.6,1465.9,14014.6,15325.8,15934.2,16712.2,17310,18734.1
Germany,2020-11-09,,estimate,11721.5,11742.2,1048,10041.5,11014.8,11427.6,11989,12425.2,13491
Germany,2020-11-10,,estimate,16236.5,16263.2,1426.6,13941.9,15301.8,15887,16554,17185.8,18760.6
Germany,2020-11-11,,estimate,18490,18496.8,1658.7,15796,17357.5,18058,18858.4,19550,21336.2
Germany,2020-11-12,,estimate,22500.5,22599.2,2048.7,19437.9,21196.8,21996,22992.4,23887,26062.9
Germany,2020-11-13,,estimate,23303.5,23437.1,2115.3,20014.8,21989,22826.2,23877.2,24863.8,27056.4
Germany,2020-11-14,,estimate,23303,23407.3,2206.7,19968,21955.5,22764,23870.4,24818,27175.5
Germany,2020-11-15,,estimate,16188,16243.2,1471.4,13935.7,15250,15825.6,16588,17193.5,18746.3
Germany,2020-11-16,,estimate,11415.5,11459.8,1029,9885.9,10752.5,11140.8,11701,12129.2,13192.1
Germany,2020-11-17,,estimate,15798,15831.9,1420,13565,14841,15445,16133,16766.2,18255.4
Germany,2020-11-18,,estimate,17862,17951.6,1640.6,15357.5,16838.5,17483,18291.4,19032,20725.4
Germany,2020-11-19,,estimate,21593.5,21704.8,1938.3,18665.4,20363.5,21174.2,22101.2,22952.2,25021.5
Germany,2020-11-20,,estimate,22292.5,22449.8,2029.4,19332,21067.5,21835,22869,23720.5,25965.1
Germany,2020-11-21,,estimate,22156.5,22297.4,2066.7,19065.9,20915.5,21715.4,22716.2,23594,25775.3
Germany,2020-11-22,,estimate,15446,15486.8,1369.3,13371.9,14567.5,15103.6,15746.8,16375,17864.1
Germany,2020-11-23,,estimate,10943.5,10970.3,985.8,9395.8,10309,10688,11177,11595,12656
Germany,2020-11-24,,estimate,15091.5,15149.1,1349,13044.6,14213,14722.6,15460,16029.8,17446.3
Germany,2020-11-25,,estimate,17065,17193.9,1607.2,14726.6,16093.5,16715.2,17511.8,18258,19923.6
Germany,2020-11-26,,estimate,20833,20910.2,1919.8,17828.9,19538.5,20360,21369.4,22169,24103.6
Germany,2020-11-27,,estimate,21780.5,21810.8,1930.9,18794.8,20492.8,21278,22228.4,22990.5,25064.5
Germany,2020-11-28,,estimate,21824,21844.4,1963.9,18583.9,20554.8,21297,22337.2,23114.2,25088.6
Germany,2020-11-29,,estimate,15242,15269.5,1373.8,13086.9,14292.2,14919.8,15565,16143,17624.2
Germany,2020-11-30,,estimate,10947.5,10956,983.7,9403.4,10278.5,10679.6,11186.8,11603.2,12608.2
Germany,2020-12-01,,estimate,15308.5,15339.7,1342.1,13190.8,14395.8,14952.6,15645.2,16231.8,17572.2
Germany,2020-12-02,,estimate,17519,17542.9,1598,14976.9,16485.8,17124.6,17897.6,18610.2,20170
Germany,2020-12-03,,estimate based on partial data,21673,21690.5,1925.5,18669.9,20356,21163.6,22122.4,22957.2,24971.7
Germany,2020-12-04,,estimate based on partial data,22735.5,22860.4,2089.9,19497.8,21447,22234.6,23308.8,24265,26376.1
Germany,2020-12-05,,estimate based on partial data,23194,23291.5,2210.7,19907.2,21791.5,22702.4,23643.4,24606.2,27144.4
Germany,2020-12-06,,estimate based on partial data,16545,16563.4,1505.8,14220.7,15534,16182.6,16887.8,17526.5,19114.4
Germany,2020-12-07,,estimate based on partial data,12071,12114,1103.4,10386.4,11370.8,11785,12351.6,12807.5,14006.1
Germany,2020-12-08,,estimate based on partial data,17134.5,17176.5,1548.3,14672,16161.8,16757.6,17525.4,18169.8,19697.8
Germany,2020-12-09,,estimate based on partial data,20106,20119.7,1830,17149.3,18889.5,19629.6,20529,21249.2,23151.2
Germany,2020-12-10,,estimate based on partial data,25201.5,25261.9,2310.2,21511.6,23774,24626.6,25735.2,26717.8,29114.9
Germany,2020-12-11,,estimate based on partial data,27067.5,27162.9,2589.1,23145.7,25431.8,26459.8,27710,28827.5,31626.3
Germany,2020-12-12,,estimate based on partial data,28067.5,28183.1,2662.3,24045.9,26335.8,27445.6,28706.4,29851.5,32716
Germany,2020-12-13,,estimate based on partial data,20376.5,20443.1,1993.7,17243.9,19036,19873,20892.8,21687,23923.1
Germany,2020-12-14,,forecast,15050,15134.1,1670.1,12586.1,13907.5,14644.6,15504.2,16240.2,17983.7
Germany,2020-12-15,,forecast,21772.5,21955.8,2654.2,17923.2,20093.8,21159.6,22471.4,23575.8,26708.6
Germany,2020-12-16,,forecast,25900.5,26118.9,3595.4,20843.9,23722,25075.8,26697.4,28168,32306.2
Germany,2020-12-17,,forecast,32921,33426.7,5222.8,25859.4,29916.5,31766.6,34068,36378.8,43193.9
Germany,2020-12-18,,forecast,35836,36539.6,6339.3,27502,32024.5,34185.2,37455.4,40329,48134
Germany,2020-12-19,,forecast,37481,38508,7533.6,27781.8,33388.8,35955.8,39313,42845.2,52287.2
Germany,2020-12-20,,forecast,27397.5,28256,6283.7,19981.4,23999.5,26205.6,28725.6,31450.8,39950.9
Germany,2020-12-21,,forecast,20438.5,21266.8,5317.1,14128.9,17638.5,19331.2,21679.4,23919.8,30811.7
Germany,2020-12-22,,forecast,29540.5,30904.8,8426.2,19559.9,25334.2,27971.6,31434.6,34980.2,46480.9
Germany,2020-12-23,,forecast,35125.5,36963.1,11381.4,22575.5,29450.5,33006.2,37418.4,42167,58238.9
Germany,2020-12-24,,forecast,44883,47650.2,15946.3,27435.4,37226,41795.6,47941.2,54658.5,79227.6
Germany,2020-12-25,,forecast,48604.5,52303.7,19104.6,29588.1,39868.2,45162.8,52424,60638.5,87879.3
Germany,2020-12-26,,forecast,50899.5,55388.8,21789.6,29621.1,41402.8,46992.8,55441.2,64587.5,96945
Germany,2020-12-27,,forecast,37297.5,40765.9,17042,20873.8,29601.8,34338.6,40742.2,47448,73735.3
Germany,2020-12-28,,forecast,27757,30690.1,14154.1,14857.9,21706,25360.4,30130.4,35879,55646.5
Germany,2020-12-29,,forecast,40200,45013.2,22234.9,21065.2,30937.2,36499.2,44301.4,52809.5,87577.8
Germany,2020-12-30,,forecast,47194.5,53753.2,28221.5,23720,36017,42421.6,52133,63786.5,105255
Germany,2020-12-31,,forecast,60136,69594.9,38287.2,29416.4,45292,54168.6,67498.2,82933.8,138741.4
Germany,2021-01-01,,forecast,66011,76573.4,44523.8,30212.8,48136.8,59227,74197.8,90780.5,158735.7
Germany,2021-01-02,,forecast,68694.5,81305.4,50996.8,31275.6,50469.2,61239.8,76906.8,96723.5,175832.4
Germany,2021-01-03,,forecast,50137,59617.8,39539.5,21730.9,35506.2,43875.6,56596.2,71255,129473.6
Germany,2021-01-04,,forecast,37084,44711.6,30263,15175.6,26257.8,32590.2,42081.4,53874.2,98920.2
Germany,2021-01-05,,forecast,53856,65415,46967.3,21363.8,37572.2,47210.4,61147.4,78642.2,148292.5
Germany,2021-01-06,,forecast,64235,78712.1,58389.1,24889.8,43360,55563,72511.4,93762.8,187648.4
Germany,2021-01-07,,forecast,80410.5,100689.4,77547.4,29801.4,53910,68909,93251.8,121342.5,236951.7
