region,date,primary,secondary,mean,sd,median,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2020-08-31,610,3,,,,,,,,,
Germany,2020-09-01,1218,4,,,,,,,,,
Germany,2020-09-02,1256,11,,,,,,,,,
Germany,2020-09-03,1311,8,,,,,,,,,
Germany,2020-09-04,1453,1,,,,,,,,,
Germany,2020-09-05,1378,2,,,,,,,,,
Germany,2020-09-06,988,1,,,,,,,,,
Germany,2020-09-07,814,0,,,,,,,,,
Germany,2020-09-08,1499,4,,,,,,,,,
Germany,2020-09-09,1176,9,,,,,,,,,
Germany,2020-09-10,1892,3,,,,,,,,,
Germany,2020-09-11,1484,1,,,,,,,,,
Germany,2020-09-12,1630,5,,,,,,,,,
Germany,2020-09-13,948,2,,,,,,,,,
Germany,2020-09-14,927,1,,,,,,,,,
Germany,2020-09-15,1407,12,,,,,,,,,
Germany,2020-09-16,1901,6,,,,,,,,,
Germany,2020-09-17,2194,3,,,,,,,,,
Germany,2020-09-18,1916,7,,,,,,,,,
Germany,2020-09-19,2297,6,,,,,,,,,
Germany,2020-09-20,1345,2,,,,,,,,,
Germany,2020-09-21,922,0,,,,,,,,,
Germany,2020-09-22,1821,10,,,,,,,,,
Germany,2020-09-23,1769,13,,,,,,,,,
Germany,2020-09-24,2143,19,,,,,,,,,
Germany,2020-09-25,2153,15,,,,,,,,,
Germany,2020-09-26,2507,9,,,,,,,,,
Germany,2020-09-27,1410,5,,,,,,,,,
Germany,2020-09-28,1192,3,,,,,,,,,
Germany,2020-09-29,2089,11,,,,,,,,,
Germany,2020-09-30,1798,17,,,,,,,,,
Germany,2020-10-01,2503,12,,,,,,,,,
Germany,2020-10-02,2673,8,,,,,,,,,
Germany,2020-10-03,2563,19,,,,,,,,,
Germany,2020-10-04,2279,2,,,,,,,,,
Germany,2020-10-05,1382,5,,,,,,,,,
Germany,2020-10-06,2639,12,,,,,,,,,
Germany,2020-10-07,2828,16,,,,,,,,,
Germany,2020-10-08,4058,16,,,,,,,,,
Germany,2020-10-09,4516,11,,,,,,,,,
Germany,2020-10-10,4721,15,,,,,,,,,
Germany,2020-10-11,3483,11,,,,,,,,,
Germany,2020-10-12,2467,6,,,,,,,,,
Germany,2020-10-13,4122,13,,,,,,,,,
Germany,2020-10-14,5132,43,,,,,,,,,
Germany,2020-10-15,6638,33,,,,,,,,,
Germany,2020-10-16,7334,24,,,,,,,,,
Germany,2020-10-17,7830,33,,,,,,,,,
Germany,2020-10-18,5587,10,,,,,,,,,
Germany,2020-10-19,4325,12,,,,,,,,,
Germany,2020-10-20,6868,47,,,,,,,,,
Germany,2020-10-21,7595,39,,,,,,,,,
Germany,2020-10-22,11287,30,,,,,,,,,
Germany,2020-10-23,11242,49,,,,,,,,,
Germany,2020-10-24,14714,49,,,,,,,,,
Germany,2020-10-25,11176,29,,,,,,,,,
Germany,2020-10-26,8685,24,,,,,,,,,
Germany,2020-10-27,16033,,47.6,26.8,44,13,29,38,49,61,96
Germany,2020-10-28,18085,,52.6,29.3,48,16,33,41,54,67,105
Germany,2020-10-29,24878.5,,60.2,33.4,54,19,36,47,61.4,76,125.1
Germany,2020-10-30,26764.5,,64.5,36.4,59,17,39,51,66,83,129
Germany,2020-10-31,31555,,70.6,37.9,66,18.9,43,57,73,90.2,141
Germany,2020-11-01,20489,,75.9,42.3,70,23,47,61,78,97,148.1
Germany,2020-11-02,17671,,84.4,47.8,75,23.9,51,65,87,108,170
Germany,2020-11-03,34606,,98.1,56.3,89,27,59,78,101,124,203.1
Germany,2020-11-04,40395,,115.6,66.2,103,34,69,89,119.4,145,247
Germany,2020-11-05,52971.5,,129.8,76.6,114,32.9,76,97,133,166,274
Germany,2020-11-06,57663.5,,144.8,85.6,130,39,84,110,150,183,308
Germany,2020-11-07,67340.5,,153.2,95.2,130,41,87,112,152,198,342
Germany,2020-11-08,43966.5,,164.9,114.5,140,47,94.8,120,162.4,206,375.1
Germany,2020-11-09,37181,,195.9,137.4,168,46,108,144,192.4,249,426
Germany,2020-11-10,72973.5,,220.5,148.4,191.5,57.9,121,165,221,278,500
Germany,2020-11-11,82702.5,,274.3,221.3,212.5,67.9,137.8,183.6,252.4,342.2,685
Germany,2020-11-12,111458.5,,305.6,249.8,244.5,65,158,210,282.4,379.8,704.1
Germany,2020-11-13,118310.5,,346.7,290.3,268,74,167,230.6,316.4,428,860
Germany,2020-11-14,137646,,364.2,297.5,284,84.9,175.8,240,337.4,458.2,878.9
Germany,2020-11-15,85011.5,,412.8,430.5,305,85.9,190.8,247,370,497.2,1071.1
Germany,2020-11-16,71263,,461.1,447.2,338,97.9,211.8,288.6,400.2,526,1224.1
Germany,2020-11-17,144877,,559.5,574.5,412.5,99.8,242.8,341.6,482.4,651.2,1566.8
Germany,2020-11-18,157508.5,,630.6,606.1,465.5,120,279,382,574.4,778.2,1619.5
Germany,2020-11-19,208318,,752.5,840.5,508,143,308.8,423.6,615.4,874.5,2146.2
Germany,2020-11-20,219399.5,,786.8,886.6,532.5,137.9,307.8,443,646.4,936.5,2082.3
Germany,2020-11-21,241608.5,,828.5,873.3,549.5,148,332,463.6,689.4,1013.8,2339.5
Germany,2020-11-22,150527,,868.6,874.1,603.5,175,359,488,735.4,1086.2,2406.5
Germany,2020-11-23,125575,,992.5,1131.3,649,177.9,397.8,527,830.2,1161.5,2806.8
Germany,2020-11-24,239043,,1105.9,1195.9,757,159.9,421,616.6,921.4,1383.2,2987.3
Germany,2020-11-25,262342,,1264.9,1255.5,862,193.9,489.5,680.8,1081,1602.8,3621
Poland,2020-08-31,631,1,,,,,,,,,
Poland,2020-09-01,502,6,,,,,,,,,
Poland,2020-09-02,550,19,,,,,,,,,
Poland,2020-09-03,595,20,,,,,,,,,
Poland,2020-09-04,612,14,,,,,,,,,
Poland,2020-09-05,691,8,,,,,,,,,
Poland,2020-09-06,567,13,,,,,,,,,
Poland,2020-09-07,437,7,,,,,,,,,
Poland,2020-09-08,302,3,,,,,,,,,
Poland,2020-09-09,400,12,,,,,,,,,
Poland,2020-09-10,421,11,,,,,,,,,
Poland,2020-09-11,506,12,,,,,,,,,
Poland,2020-09-12,594,10,,,,,,,,,
Poland,2020-09-13,603,13,,,,,,,,,
Poland,2020-09-14,502,6,,,,,,,,,
