region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Germany,2020-08-30,estimate,924,967,332,777,926,659,1089,433,1471
Germany,2020-08-31,estimate,685,716,247,581,694,476,778,307,1069
Germany,2020-09-01,estimate,1338,1400,477,1165,1377,974,1554,622,2103
Germany,2020-09-02,estimate,1280,1332,453,1017,1227,964,1518,645,2085
Germany,2020-09-03,estimate,1656,1730,588,1441,1703,1209,1910,811,2657
Germany,2020-09-04,estimate,1771,1843,618,1429,1712,1287,2061,892,2821
Germany,2020-09-05,estimate,1612,1685,578,1402,1662,1163,1881,777,2561
Germany,2020-09-06,estimate,1068,1106,378,796,974,760,1227,504,1658
Germany,2020-09-07,estimate,773,806,281,597,727,530,888,365,1237
Germany,2020-09-08,estimate,1505,1581,549,1225,1451,1105,1765,713,2429
Germany,2020-09-09,estimate,1440,1505,520,1181,1415,985,1618,683,2293
Germany,2020-09-10,estimate,1882,1972,670,1701,2004,1344,2165,948,3000
Germany,2020-09-11,estimate,1988,2076,715,1658,1984,1503,2404,937,3150
Germany,2020-09-12,estimate,1838,1916,655,1557,1863,1324,2155,913,2935
Germany,2020-09-13,estimate,1204,1261,453,929,1131,863,1415,561,1921
Germany,2020-09-14,estimate,879,922,348,728,874,624,1016,416,1411
Germany,2020-09-15,estimate,1734,1793,620,1598,1879,1279,2059,819,2741
Germany,2020-09-16,estimate,1618,1702,636,1311,1581,1102,1841,744,2582
Germany,2020-09-17,estimate,2136,2233,835,1638,2009,1470,2451,1023,3393
Germany,2020-09-18,estimate,2217,2336,880,1873,2236,1590,2576,1093,3613
Germany,2020-09-19,estimate,2059,2178,851,1577,1902,1546,2464,992,3271
Germany,2020-09-20,estimate,1335,1411,809,1187,1410,906,1518,670,2193
Germany,2020-09-21,estimate,985,1034,511,801,967,689,1132,448,1574
Germany,2020-09-22,estimate,1934,2041,1153,1717,2044,1350,2230,894,3087
Germany,2020-09-23,estimate,1797,1910,1347,1495,1805,1215,2042,871,2937
Germany,2020-09-24,estimate,2361,2514,2044,1963,2357,1560,2643,1102,3841
Germany,2020-09-25,estimate,2538,2699,2806,2234,2633,1791,2881,1220,4039
Germany,2020-09-26,estimate,2293,2450,2652,1851,2234,1595,2649,985,3657
Germany,2020-09-27,estimate,1500,1615,1540,1238,1491,1008,1690,693,2440
Germany,2020-09-28,estimate,1112,1212,2416,957,1142,718,1241,507,1807
Germany,2020-09-29,estimate,2143,2354,5395,1709,2058,1384,2375,1013,3568
Germany,2020-09-30,estimate,2037,2256,6812,1511,1847,1354,2280,918,3290
Germany,2020-10-01,estimate based on partial data,2710,2953,6857,2324,2791,1933,3210,1144,4312
Germany,2020-10-02,estimate based on partial data,2852,3181,11717,2211,2689,2048,3368,1267,4571
Germany,2020-10-03,estimate based on partial data,2638,3150,25013,2452,2911,1813,3029,1281,4276
Germany,2020-10-04,estimate based on partial data,1700,2269,29463,1340,1637,1206,1992,724,2804
Germany,2020-10-05,estimate based on partial data,1245,1520,12431,1061,1276,880,1465,543,2070
Germany,2020-10-06,estimate based on partial data,2408,3217,41555,1979,2386,1712,2824,1147,4013
Germany,2020-10-07,estimate based on partial data,2319,2815,23298,1836,2234,1557,2676,974,3716
Germany,2020-10-08,estimate based on partial data,3018,4378,75373,2453,2977,2098,3503,1361,4972
Germany,2020-10-09,estimate based on partial data,3190,4830,90298,2740,3282,2247,3725,1379,5218
Germany,2020-10-10,estimate based on partial data,2932,5461,147351,2325,2817,2032,3411,1302,4901
Germany,2020-10-11,estimate based on partial data,1908,3291,78554,1462,1798,1271,2203,809,3169
Germany,2020-10-12,forecast,1403,2724,77043,1144,1376,979,1635,605,2304
Germany,2020-10-13,forecast,2718,6305,214282,2063,2543,1798,3136,1230,4592
Germany,2020-10-14,forecast,2586,4296,95751,2137,2593,1802,3026,1139,4308
Germany,2020-10-15,forecast,3404,4875,77571,2848,3456,2354,3964,1353,5610
Germany,2020-10-16,forecast,3628,6087,140365,2978,3635,2422,4144,1628,6025
Germany,2020-10-17,forecast,3332,5110,96755,2778,3368,2225,3814,1464,5472
Germany,2020-10-18,forecast,2155,4994,168212,1667,2082,1401,2487,840,3642
Germany,2020-10-19,forecast,1586,4779,193519,1178,1451,1079,1842,727,2749
Germany,2020-10-20,forecast,3058,4675,85076,2344,2898,1959,3467,1380,5261
Germany,2020-10-21,forecast,2938,5015,114005,2441,2954,1902,3331,1286,4985
Germany,2020-10-22,forecast,3743,6003,120123,3154,3791,2488,4297,1576,6360
Germany,2020-10-23,forecast,4058,6341,120682,3257,3968,2766,4733,1619,6709
Germany,2020-10-24,forecast,3692,7367,208366,2900,3529,2472,4274,1663,6341
Germany,2020-10-25,forecast,2444,5476,176327,2091,2535,1582,2796,1036,4188
Germany,2020-10-26,forecast,1790,4926,186970,1293,1623,1239,2127,713,3033
Germany,2020-10-27,forecast,3460,6831,188318,2614,3220,2431,4085,1435,5903
Germany,2020-10-28,forecast,3278,6915,205139,2417,3008,2065,3673,1307,5621
Germany,2020-10-29,forecast,4296,9747,310258,3431,4219,2798,4908,1844,7544
Germany,2020-10-30,forecast,4532,10417,334719,3480,4323,2754,5104,1731,7704
Germany,2020-10-31,forecast,4234,6121,85332,3709,4506,2706,4842,1760,7373
Germany,2020-11-01,forecast,2720,4641,98315,2139,2644,1765,3167,1016,4599
Germany,2020-11-02,forecast,2018,4591,145360,1557,1925,1240,2249,778,3462
Germany,2020-11-03,forecast,3917,6499,125321,3400,4137,2661,4659,1372,6856
Germany,2020-11-04,forecast,3724,6811,160117,3387,4071,2332,4212,1478,6557
Germany,2020-11-05,forecast,4850,6653,68318,3671,4592,3218,5658,1864,8367
Germany,2020-11-06,forecast,5104,10402,279341,4107,5028,3351,5939,2004,9018
Germany,2020-11-07,forecast,4658,8728,205795,3227,4092,3145,5541,1853,8354
Germany,2020-11-08,forecast,3116,5749,130183,2335,2936,1987,3590,1232,5496
Germany,2020-11-09,forecast,2273,4216,94327,1759,2188,1476,2666,798,4065
Germany,2020-11-10,forecast,4411,8247,181211,3442,4287,2691,4960,1775,7857
Poland,2020-08-30,estimate,692,929,855,69,314,72,744,2,1988
Poland,2020-08-31,estimate,416,566,529,82,225,60,468,3,1240
Poland,2020-09-01,estimate,519,708,678,108,287,42,540,3,1487
Poland,2020-09-02,estimate,508,706,676,163,336,54,543,2,1510
Poland,2020-09-03,estimate,594,835,841,185,384,44,628,2,1780
Poland,2020-09-04,estimate,732,1023,1057,217,452,77,786,6,2189
Poland,2020-09-05,estimate,807,1132,1222,123,394,89,870,0,2471
Poland,2020-09-06,estimate,832,1209,1252,320,604,79,887,0,2626
Poland,2020-09-07,estimate,487,724,811,78,244,74,543,0,1544
Poland,2020-09-08,estimate,636,907,1035,98,319,50,669,5,1914
Poland,2020-09-09,estimate,630,929,1104,166,365,27,637,2,1958
Poland,2020-09-10,estimate,708,1082,2761,106,349,37,734,3,2258
Poland,2020-09-11,estimate,842,1315,3223,128,423,36,856,1,2783
Poland,2020-09-12,estimate,934,1418,3924,328,653,57,970,11,2939
Poland,2020-09-13,estimate,1034,1564,2229,191,534,59,1065,4,3317
Poland,2020-09-14,estimate,583,924,1522,122,323,28,596,1,1987
Poland,2020-09-15,estimate,756,1229,3950,150,400,48,785,5,2525
Poland,2020-09-16,estimate,752,1191,1947,211,468,36,776,0,2472
Poland,2020-09-17,estimate,872,1476,4501,209,510,33,892,9,3038
Poland,2020-09-18,estimate,1014,1970,16874,155,494,46,1039,3,3558
Poland,2020-09-19,estimate,1124,2020,10939,250,634,67,1173,1,3910
Poland,2020-09-20,estimate,1188,3675,108919,194,593,74,1242,0,4199
Poland,2020-09-21,estimate,708,3948,173147,135,375,38,728,1,2556
Poland,2020-09-22,estimate,888,2224,37806,169,471,41,912,4,3254
Poland,2020-09-23,estimate,880,4442,179298,243,541,33,895,0,3388
Poland,2020-09-24,estimate,1050,2674,47027,125,474,42,1072,1,3722
Poland,2020-09-25,estimate,1209,4781,138447,150,563,101,1284,6,4670
Poland,2020-09-26,estimate,1316,7397,222092,247,690,107,1406,10,5101
Poland,2020-09-27,estimate,1422,12226,581404,335,801,28,1438,0,5934
Poland,2020-09-28,estimate,830,6128,203230,189,481,51,869,8,3391
Poland,2020-09-29,estimate,1076,6045,211679,163,523,41,1099,0,4387
Poland,2020-09-30,estimate,1072,6619,245077,98,441,54,1109,10,4595
Poland,2020-10-01,estimate based on partial data,1246,4142,53646,257,661,59,1286,0,5151
Poland,2020-10-02,estimate based on partial data,1416,8248,229370,245,708,44,1433,3,6279
Poland,2020-10-03,estimate based on partial data,1582,15581,552071,190,739,46,1614,0,6442
Poland,2020-10-04,estimate based on partial data,1696,6340,71775,553,1129,37,1709,0,7522
Poland,2020-10-05,estimate based on partial data,1014,7267,175616,153,476,44,1045,1,4796
Poland,2020-10-06,estimate based on partial data,1254,11948,364905,165,569,40,1283,7,5633
Poland,2020-10-07,estimate based on partial data,1226,10874,290859,262,659,28,1236,7,6092
Poland,2020-10-08,estimate based on partial data,1412,8364,213546,138,602,33,1429,2,6588
Poland,2020-10-09,estimate based on partial data,1702,13193,293195,376,921,55,1730,3,8597
Poland,2020-10-10,estimate based on partial data,1819,12781,242517,177,762,71,1880,0,9130
Poland,2020-10-11,estimate based on partial data,1964,19553,341794,284,935,76,2014,3,9824
Poland,2020-10-12,forecast,1168,16235,495980,219,618,41,1188,10,6077
Poland,2020-10-13,forecast,1448,13300,240136,106,587,26,1460,11,7668
Poland,2020-10-14,forecast,1454,15982,294349,142,625,27,1465,3,7658
Poland,2020-10-15,forecast,1618,23242,524141,111,641,66,1651,1,9587
Poland,2020-10-16,forecast,2037,24047,457623,139,785,65,2081,0,10320
Poland,2020-10-17,forecast,2218,26492,514998,128,845,95,2278,4,12316
Poland,2020-10-18,forecast,2422,24897,415496,283,1069,64,2476,7,14253
Poland,2020-10-19,forecast,1370,22889,426459,199,655,25,1389,2,8125
Poland,2020-10-20,forecast,1763,18158,259616,282,835,77,1811,3,10005
Poland,2020-10-21,forecast,1706,28391,494963,142,712,17,1710,7,10073
Poland,2020-10-22,forecast,1918,36529,846912,225,830,21,1924,7,12507
Poland,2020-10-23,forecast,2424,28675,354762,310,1099,74,2471,3,15332
Poland,2020-10-24,forecast,2619,44031,654046,226,1047,58,2656,9,17128
Poland,2020-10-25,forecast,2864,61300,1249361,455,1367,76,2894,6,17888
Poland,2020-10-26,forecast,1694,30616,445540,262,780,16,1699,5,11947
Poland,2020-10-27,forecast,2014,40474,629955,172,829,100,2099,5,14963
Poland,2020-10-28,forecast,1962,33763,498279,110,726,47,1992,2,14648
Poland,2020-10-29,forecast,2302,42824,639424,176,881,39,2321,14,16430
Poland,2020-10-30,forecast,2848,50688,772799,158,1050,38,2874,8,21433
Poland,2020-10-31,forecast,3086,74797,1198710,288,1260,23,3090,17,22981
Poland,2020-11-01,forecast,3350,60878,848238,247,1271,68,3387,5,25434
Poland,2020-11-02,forecast,1978,45463,556339,127,715,9,1979,9,16206
Poland,2020-11-03,forecast,2413,47681,742735,483,1250,59,2462,2,19356
Poland,2020-11-04,forecast,2511,47890,632624,257,1021,26,2523,5,18852
Poland,2020-11-05,forecast,2755,50200,602020,324,1170,41,2775,1,22572
Poland,2020-11-06,forecast,3362,60703,793783,303,1347,36,3385,0,29265
Poland,2020-11-07,forecast,3486,88509,1053853,451,1539,65,3540,0,29521
Poland,2020-11-08,forecast,3789,74418,878936,363,1517,15,3793,4,32977
Poland,2020-11-09,forecast,2267,57969,753376,286,1024,59,2311,4,20738
