Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,11511 (6889 -- 19664),Likely increasing,1.2 (0.98 -- 1.3),0.041 (-0.0051 -- 0.088),17 (7.9 -- -140)
Bavaria,14847 (8885 -- 26336),Likely increasing,1.1 (0.98 -- 1.3),0.039 (-0.0058 -- 0.09),18 (7.7 -- -120)
Berlin,4470 (2846 -- 7750),Increasing,1.2 (1 -- 1.4),0.054 (0.011 -- 0.11),13 (6.3 -- 62)
Brandenburg,3499 (1529 -- 8604),Likely increasing,1.2 (0.9 -- 1.5),0.051 (-0.029 -- 0.14),14 (5 -- -24)
Bremen,659 (382 -- 1250),Likely increasing,1.1 (1 -- 1.3),0.034 (0.00014 -- 0.091),20 (7.7 -- 5000)
Dolnośląskie,14754 (8677 -- 26281),Likely increasing,1.1 (0.93 -- 1.3),0.034 (-0.019 -- 0.08),20 (8.7 -- -36)
Germany,96087 (66842 -- 140331),Increasing,1.2 (1 -- 1.3),0.042 (0.0058 -- 0.072),17 (9.7 -- 120)
Hamburg,2011 (924 -- 5244),Likely increasing,1.1 (0.93 -- 1.5),0.033 (-0.019 -- 0.12),21 (5.8 -- -37)
Hesse,6838 (4323 -- 10641),Likely increasing,1.1 (0.94 -- 1.2),0.025 (-0.016 -- 0.057),27 (12 -- -43)
Kujawsko-Pomorskie,7222 (4978 -- 10804),Likely increasing,1.1 (0.98 -- 1.2),0.027 (-0.0067 -- 0.061),26 (11 -- -100)
Lower Saxony,8996 (5649 -- 15652),Increasing,1.1 (1 -- 1.3),0.04 (0.0074 -- 0.087),17 (8 -- 94)
Lubelskie,5332 (3599 -- 8304),Increasing,1.2 (1.1 -- 1.3),0.042 (0.015 -- 0.071),17 (9.8 -- 45)
Lubuskie,3677 (2254 -- 6440),Likely increasing,1 (0.88 -- 1.2),0.0087 (-0.034 -- 0.045),80 (15 -- -20)
Mazowieckie,20984 (13931 -- 32729),Likely increasing,1.1 (0.91 -- 1.2),0.016 (-0.026 -- 0.054),44 (13 -- -27)
Małopolskie,15793 (9528 -- 27165),Increasing,1.2 (1 -- 1.4),0.046 (0.0057 -- 0.095),15 (7.3 -- 120)
Mecklenburg-Vorpommern,1786 (1120 -- 3034),Increasing,1.3 (1.1 -- 1.6),0.075 (0.027 -- 0.14),9.3 (4.9 -- 25)
North Rhine-Westphalia,18520 (11946 -- 29647),Increasing,1.1 (1 -- 1.3),0.038 (0.0012 -- 0.074),18 (9.4 -- 590)
Opolskie,3940 (2331 -- 7158),Likely increasing,1.2 (0.97 -- 1.3),0.043 (-0.0081 -- 0.092),16 (7.6 -- -86)
Podkarpackie,7903 (4582 -- 15781),Likely increasing,1.1 (0.9 -- 1.3),0.024 (-0.027 -- 0.084),29 (8.2 -- -26)
Podlaskie,2034 (1424 -- 3016),Likely increasing,1 (0.94 -- 1.1),0.012 (-0.016 -- 0.039),60 (18 -- -44)
Poland,182823 (122550 -- 288830),Likely increasing,1.1 (1 -- 1.3),0.033 (-0.00012 -- 0.068),21 (10 -- -5900)
Pomorskie,9523 (6369 -- 14645),Likely increasing,1.1 (0.99 -- 1.3),0.03 (-0.0031 -- 0.074),23 (9.3 -- -220)
Rhineland-Palatinate,3975 (1991 -- 9379),Likely increasing,1.2 (0.98 -- 1.5),0.05 (-0.0055 -- 0.13),14 (5.2 -- -130)
Saarland,452 (236 -- 1223),Likely increasing,1 (0.9 -- 1.3),0.0065 (-0.029 -- 0.086),110 (8.1 -- -24)
Saxony,6646 (3952 -- 10815),Likely increasing,1.1 (0.94 -- 1.3),0.038 (-0.016 -- 0.085),18 (8.2 -- -43)
Saxony-Anhalt,2828 (1317 -- 7167),Likely increasing,1.1 (0.9 -- 1.5),0.035 (-0.028 -- 0.12),20 (5.7 -- -25)
Schleswig-Holstein,1354 (917 -- 2097),Increasing,1.1 (1 -- 1.2),0.03 (0.0012 -- 0.065),23 (11 -- 590)
Thuringia,4292 (2692 -- 7170),Likely increasing,1.1 (0.97 -- 1.2),0.029 (-0.0096 -- 0.064),24 (11 -- -73)
Warmińsko-Mazurskie,4191 (2540 -- 7689),Likely increasing,1 (0.87 -- 1.3),0.0098 (-0.036 -- 0.07),71 (9.8 -- -19)
Wielkopolskie,23626 (14197 -- 42715),Increasing,1.2 (1 -- 1.4),0.056 (0.011 -- 0.094),12 (7.4 -- 62)
Zachodniopomorskie,5651 (3497 -- 9392),Likely increasing,1.2 (1 -- 1.3),0.044 (-0.00089 -- 0.092),16 (7.6 -- -780)
Łódzkie,9835 (6258 -- 15846),Likely increasing,1.2 (0.98 -- 1.3),0.041 (-0.0056 -- 0.081),17 (8.5 -- -120)
Śląskie,29975 (18380 -- 52247),Increasing,1.2 (1 -- 1.3),0.046 (0.0026 -- 0.087),15 (8 -- 270)
Świętokrzyskie,5462 (3402 -- 9355),Increasing,1.2 (1 -- 1.3),0.053 (0.013 -- 0.092),13 (7.5 -- 51)
