region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Wurttemberg,2021-01-11,,estimate,6285.5,6445.2,1146.5,4864.2,5621.3,5990.8,6598.2,7089.9,8512
Baden-Wurttemberg,2021-01-12,,estimate,6071.5,6233.3,1111.5,4716.7,5434.4,5787.1,6378.8,6872.3,8243.9
Baden-Wurttemberg,2021-01-13,,estimate,5861,6012,1067.3,4552.4,5241.2,5587.2,6161,6625.5,7963
Baden-Wurttemberg,2021-01-14,,estimate,5649.1,5792.7,1021.8,4401.3,5059.4,5387.8,5925.4,6370.7,7690.4
Baden-Wurttemberg,2021-01-15,,estimate,5421.4,5579.6,977.7,4266.7,4877.3,5200.8,5700.9,6144.9,7359.7
Baden-Wurttemberg,2021-01-16,,estimate,5221,5359.6,935.4,4108.7,4690.4,5000.6,5479.5,5897.5,7060.7
Baden-Wurttemberg,2021-01-17,,estimate,5021.7,5150,895.1,3964.4,4510.1,4805,5265.4,5667,6751.4
Baden-Wurttemberg,2021-01-18,,estimate,4834.4,4950.5,857,3805,4334.3,4616.5,5056,5433.1,6494.5
Baden-Wurttemberg,2021-01-19,,estimate,4649.3,4760.5,820.9,3672.4,4174.1,4434.5,4863.3,5229.6,6239.5
Baden-Wurttemberg,2021-01-20,,estimate,4481.7,4579.9,787,3526.6,4018.7,4268.6,4678.3,5029,6006.7
Baden-Wurttemberg,2021-01-21,,estimate,4316.1,4408.1,755.2,3399.4,3868.8,4112.5,4505,4839,5773.6
Baden-Wurttemberg,2021-01-22,,estimate,4149.6,4244.9,725.4,3279.9,3730.3,3964.3,4339.4,4660,5558.6
Baden-Wurttemberg,2021-01-23,,estimate,3992.6,4089.9,697.6,3155.3,3595.7,3813.5,4186.7,4485.3,5357
Baden-Wurttemberg,2021-01-24,,estimate,3856.1,3942.7,671.6,3036.2,3462.9,3678.8,4020.8,4319.6,5154.5
Baden-Wurttemberg,2021-01-25,,estimate,3727.1,3803,647.3,2938.3,3340.3,3539.8,3877.1,4163,4968
Baden-Wurttemberg,2021-01-26,,estimate,3599,3670.6,624.5,2828.6,3229,3418.8,3742.3,4018.1,4799.2
Baden-Wurttemberg,2021-01-27,,estimate,3473.1,3546.8,604.3,2739,3123.4,3304.1,3618.7,3891.7,4643.6
Baden-Wurttemberg,2021-01-28,,estimate,3353.9,3430.1,585.2,2645.8,3020.1,3197.9,3493.8,3765.2,4478.6
Baden-Wurttemberg,2021-01-29,,estimate,3247,3320.3,567.1,2565.2,2919.6,3098.4,3380.1,3646,4344.9
Baden-Wurttemberg,2021-01-30,,estimate,3144.3,3217.5,550,2478.7,2824.5,2998.4,3272.9,3540.7,4206.1
Baden-Wurttemberg,2021-01-31,,estimate,3049.1,3121.9,533.8,2399.7,2742.5,2914.3,3178.4,3439.1,4079.3
Baden-Wurttemberg,2021-02-01,,estimate,2963.4,3033.5,518.7,2333.8,2666.5,2835.4,3087.9,3339.5,3958.6
Baden-Wurttemberg,2021-02-02,,estimate,2877.1,2952.5,504.8,2269.9,2593.5,2764.1,3003.4,3250.2,3860.9
Baden-Wurttemberg,2021-02-03,,estimate,2805.7,2879.2,492.3,2208.4,2532.5,2695.8,2928.2,3168.3,3757.6
Baden-Wurttemberg,2021-02-04,,estimate,2744.8,2813.8,481.3,2156.4,2470,2633.4,2862.6,3092.2,3669.8
Baden-Wurttemberg,2021-02-05,,estimate,2693.9,2756.4,471.7,2111,2423.2,2577.1,2806.4,3024.5,3596.6
Baden-Wurttemberg,2021-02-06,,estimate,2645.8,2707.1,463.4,2074.2,2381.5,2528.7,2755,2969.6,3528.3
Baden-Wurttemberg,2021-02-07,,estimate,2606.9,2666.2,456.5,2039.9,2348.1,2493.5,2720,2925.9,3485.5
Baden-Wurttemberg,2021-02-08,,estimate,2574,2633.7,450.8,2015.5,2316.7,2464.4,2689.2,2893.6,3451.3
Baden-Wurttemberg,2021-02-09,,estimate,2550,2609.7,446.1,1993.6,2296.2,2441.8,2667.5,2871.2,3405.4
Baden-Wurttemberg,2021-02-10,,estimate,2536.2,2594.1,442.7,1974.8,2279.8,2430.7,2653.2,2855.5,3387.3
Baden-Wurttemberg,2021-02-11,,estimate,2533,2587.1,440.3,1971.3,2270.3,2426.4,2647.5,2847.5,3364.6
Baden-Wurttemberg,2021-02-12,,estimate,2533.4,2588.5,439.2,1974.2,2276.8,2428.8,2648.2,2849.2,3364
Baden-Wurttemberg,2021-02-13,,estimate,2544.8,2598.2,439.4,1983,2285.3,2439.2,2652.1,2857.6,3361.7
Baden-Wurttemberg,2021-02-14,,estimate,2567.7,2616.2,441.1,1998.5,2301.7,2455.7,2668.9,2874.1,3382.9
Baden-Wurttemberg,2021-02-15,,estimate,2593.2,2642.3,444.3,2012.4,2324.3,2479.8,2698.8,2901.8,3425.1
Baden-Wurttemberg,2021-02-16,,estimate,2623.7,2676.4,449.2,2037.3,2352.9,2513.2,2732.3,2937.4,3473.5
Baden-Wurttemberg,2021-02-17,,estimate,2661.2,2718.2,455.7,2080.1,2392.5,2550.2,2778.6,2985.1,3550.5
Baden-Wurttemberg,2021-02-18,,estimate,2705.9,2767.5,463.9,2131,2440.2,2597.8,2827.5,3042.2,3612.4
Baden-Wurttemberg,2021-02-19,,estimate,2761.2,2824.2,473.6,2177,2491.2,2654.7,2882.7,3102.3,3680.9
Baden-Wurttemberg,2021-02-20,,estimate,2824.3,2888.1,484.8,2218.3,2544.2,2710.3,2954.2,3176.6,3754.5
Baden-Wurttemberg,2021-02-21,,estimate,2890.8,2959.1,497.3,2274.4,2606.5,2772.8,3024,3258.3,3847.7
Baden-Wurttemberg,2021-02-22,,estimate,2965.6,3037,511.1,2332.5,2670.8,2845.9,3106.3,3344.7,3952.6
Baden-Wurttemberg,2021-02-23,,estimate,3045.2,3121.9,526.2,2391.1,2741.7,2927.5,3189.2,3434.9,4069.1
Baden-Wurttemberg,2021-02-24,,estimate,3132,3213.9,542.5,2461,2827.4,3013.5,3277.8,3532.2,4198
Baden-Wurttemberg,2021-02-25,,estimate,3229.7,3313,560,2540.3,2915.4,3102.1,3378.8,3648.5,4323.3
Baden-Wurttemberg,2021-02-26,,estimate,3331.6,3419.6,578.8,2617.7,3009.9,3200.7,3489.5,3768.4,4455
Baden-Wurttemberg,2021-02-27,,estimate,3442.3,3533.8,599,2712.8,3112.9,3312.4,3605.2,3885.4,4621.3
Baden-Wurttemberg,2021-02-28,,estimate,3565.1,3656.1,620.6,2802.7,3216.7,3423.5,3728.5,4024.7,4778.6
Baden-Wurttemberg,2021-03-01,,estimate,3691.2,3786.7,643.8,2888.7,3324.5,3542.6,3863.9,4165.6,4969.3
Baden-Wurttemberg,2021-03-02,,estimate,3824.4,3925.9,668.6,2995.3,3441.3,3669.8,4013.9,4313.3,5153
Baden-Wurttemberg,2021-03-03,,estimate,3970.9,4074.1,695,3114.2,3578.2,3809.9,4166.2,4473.8,5347.1
Baden-Wurttemberg,2021-03-04,,estimate,4127.3,4231.4,722.8,3236.8,3715.2,3960.7,4320.4,4643.2,5539.2
Baden-Wurttemberg,2021-03-05,,estimate,4287.4,4398,752,3369.4,3862.3,4107.8,4489.8,4831.7,5768.2
Baden-Wurttemberg,2021-03-06,,estimate,4456.8,4573.7,782.4,3504.8,4023.9,4273.4,4668.7,5026.6,6006.2
Baden-Wurttemberg,2021-03-07,,estimate,4633.3,4758.3,813.8,3641.2,4181.1,4448.5,4861.1,5217.4,6275.1
Baden-Wurttemberg,2021-03-08,,estimate,4824,4951.2,846.1,3802.4,4346.3,4628.8,5062.9,5421.9,6528.6
Baden-Wurttemberg,2021-03-09,,estimate,5028,5151.6,879.2,3954.2,4527,4812.7,5274.9,5635.3,6789.5
Baden-Wurttemberg,2021-03-10,,estimate,5246.3,5358.5,913.1,4130.5,4702.9,5008.1,5481.4,5857.1,7040.4
Baden-Wurttemberg,2021-03-11,,estimate,5447.4,5570.4,947.7,4303.4,4885,5208.1,5697.3,6090.5,7314.1
Baden-Wurttemberg,2021-03-12,,estimate,5655.5,5785.4,983.2,4448,5075.3,5400,5911.2,6333.4,7596
Baden-Wurttemberg,2021-03-13,,estimate,5861.8,6001.3,1019.5,4611.9,5262.1,5600.4,6134.3,6572.8,7862.6
Baden-Wurttemberg,2021-03-14,,estimate,6069.4,6215.4,1056.6,4782.6,5442.5,5804.4,6354.3,6817.4,8138.1
Baden-Wurttemberg,2021-03-15,,estimate,6270.8,6424.9,1094.2,4938.8,5630.6,6013.7,6557.3,7042.6,8394.2
Baden-Wurttemberg,2021-03-16,,estimate,6452.8,6626.3,1131.5,5112,5804.3,6205.4,6756.3,7279,8670.9
Baden-Wurttemberg,2021-03-17,,estimate,6643.1,6816.3,1167.6,5242.7,5954.5,6372.2,6942.7,7498.2,8912.3
Baden-Wurttemberg,2021-03-18,,estimate,6819.9,6991.2,1201.1,5357.1,6114.3,6520.7,7126.9,7691.9,9155.8
Baden-Wurttemberg,2021-03-19,,estimate,6968.9,7147.7,1230.7,5474.1,6254.1,6657.9,7285.6,7858.1,9373.7
Baden-Wurttemberg,2021-03-20,,estimate,7091.4,7282.6,1255.4,5575,6368.1,6781.7,7431.9,7999.8,9591.6
