region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Germany,172799 (68820 -- 394275),172799,192937,107310,68820,121372,151279,194452,236542,394275,New confirmed cases by infection date,Likely decreasing,0.75
Poland,77455 (52821 -- 118886),77455,80652,21203,52821,66000,72970,82839,92161,118886,New confirmed cases by infection date,Likely decreasing,0.82
North Rhine-Westphalia,29639 (12146 -- 61728),29639,32518,16212,12146,21093,26199,33226,39698,61728,New confirmed cases by infection date,Likely decreasing,0.63
Baden-Wurttemberg,27393 (11841 -- 61120),27393,30719,15865,11841,19510,24160,31312,38349,61120,New confirmed cases by infection date,Likely decreasing,0.76
Saxony,20680 (5894 -- 64014),20680,25979,20738,5894,12467,16791,24623,33359,64014,New confirmed cases by infection date,Likely decreasing,0.77
Bavaria,20058 (8303 -- 46338),20058,22994,14412,8303,14042,17410,22604,28099,46338,New confirmed cases by infection date,Likely decreasing,0.89
Thuringia,18503 (8712 -- 34903),18503,19816,9049,8712,13870,16585,20501,24052,34903,New confirmed cases by infection date,Likely increasing,0.31
Saxony-Anhalt,14736 (6240 -- 31020),14736,16251,8219,6240,10359,12971,16588,20184,31020,New confirmed cases by infection date,Stable,0.48
Śląskie,11080 (6735 -- 19251),11080,11769,4072,6735,8997,10299,12019,13761,19251,New confirmed cases by infection date,Likely decreasing,0.73
Berlin,9852 (3639 -- 20604),9852,10780,5682,3639,6644,8512,11316,13739,20604,New confirmed cases by infection date,Stable,0.45
Mazowieckie,9716 (6335 -- 15952),9716,10211,3010,6335,8178,9048,10373,11617,15952,New confirmed cases by infection date,Likely decreasing,0.94
Hesse,9085 (4281 -- 17786),9085,9860,4533,4281,6822,8188,10032,11967,17786,New confirmed cases by infection date,Likely decreasing,0.7
Brandenburg,7810 (3486 -- 17187),7810,8703,4379,3486,5552,6890,8856,10869,17187,New confirmed cases by infection date,Likely decreasing,0.79
Małopolskie,7780 (4868 -- 12873),7780,8227,2641,4868,6431,7148,8393,9542,12873,New confirmed cases by infection date,Likely decreasing,0.67
Dolnośląskie,7761 (4569 -- 13518),7761,8250,2817,4569,6234,7132,8462,9764,13518,New confirmed cases by infection date,Likely decreasing,0.72
Lower Saxony,7501 (2336 -- 19061),7501,8671,5301,2336,4768,6382,8772,11400,19061,New confirmed cases by infection date,Likely decreasing,0.71
Wielkopolskie,7447 (4734 -- 11986),7447,7783,2356,4734,6086,6943,7989,9050,11986,New confirmed cases by infection date,Likely decreasing,0.74
Pomorskie,6000 (3751 -- 10262),6000,6370,2132,3751,4918,5538,6507,7369,10262,New confirmed cases by infection date,Likely decreasing,0.62
Rhineland-Palatinate,5909 (2517 -- 11866),5909,6356,2957,2517,4264,5236,6583,7833,11866,New confirmed cases by infection date,Likely decreasing,0.76
Łódzkie,4661 (2828 -- 7968),4661,4932,1629,2828,3790,4310,5057,5755,7968,New confirmed cases by infection date,Likely decreasing,0.65
Zachodniopomorskie,4540 (2829 -- 7600),4540,4821,1597,2829,3728,4204,4948,5597,7600,New confirmed cases by infection date,Likely decreasing,0.83
Mecklenburg-Vorpommern,4430 (2067 -- 9225),4430,4888,2458,2067,3274,3971,4920,5965,9225,New confirmed cases by infection date,Likely decreasing,0.71
Kujawsko-Pomorskie,3991 (2425 -- 7008),3991,4255,1465,2425,3282,3693,4322,4927,7008,New confirmed cases by infection date,Likely decreasing,0.8
Warmińsko-Mazurskie,3560 (2081 -- 6840),3560,3922,1627,2081,2884,3269,3904,4601,6840,New confirmed cases by infection date,Stable,0.55
Hamburg,3294 (1659 -- 5728),3294,3430,1355,1659,2502,2991,3588,4086,5728,New confirmed cases by infection date,Likely increasing,0.31
