region,date,confirm
Baden-Wurttemberg,2021-10-25,1224
Baden-Wurttemberg,2021-10-27,5123
Baden-Wurttemberg,2021-10-28,4580
Baden-Wurttemberg,2021-10-29,3929
Baden-Wurttemberg,2021-10-30,3780
Baden-Wurttemberg,2021-10-31,3114
Baden-Wurttemberg,2021-11-01,1610
Baden-Wurttemberg,2021-11-02,1042
Baden-Wurttemberg,2021-11-03,1863
Baden-Wurttemberg,2021-11-04,5176
Baden-Wurttemberg,2021-11-05,6160
Baden-Wurttemberg,2021-11-06,5880
Baden-Wurttemberg,2021-11-07,4656
Baden-Wurttemberg,2021-11-08,2166
Baden-Wurttemberg,2021-11-09,3414
Baden-Wurttemberg,2021-11-10,6893
Baden-Wurttemberg,2021-11-11,8062
Baden-Wurttemberg,2021-11-12,7975
Baden-Wurttemberg,2021-11-13,7979
Baden-Wurttemberg,2021-11-14,6147
Baden-Wurttemberg,2021-11-15,3390
Baden-Wurttemberg,2021-11-16,3324
Baden-Wurttemberg,2021-11-17,8665
Baden-Wurttemberg,2021-11-18,10166
Baden-Wurttemberg,2021-11-19,9713
Baden-Wurttemberg,2021-11-20,8470
Baden-Wurttemberg,2021-11-21,7321
Baden-Wurttemberg,2021-11-22,4377
Baden-Wurttemberg,2021-11-23,5502
Baden-Wurttemberg,2021-11-24,10169
Baden-Wurttemberg,2021-11-25,10681
Baden-Wurttemberg,2021-11-26,11430
Baden-Wurttemberg,2021-11-27,10613
Baden-Wurttemberg,2021-11-28,7812
Baden-Wurttemberg,2021-11-29,3957
Baden-Wurttemberg,2021-11-30,5383
Baden-Wurttemberg,2021-12-01,10731
Baden-Wurttemberg,2021-12-02,11705
Baden-Wurttemberg,2021-12-03,10910
Baden-Wurttemberg,2021-12-04,11130
Baden-Wurttemberg,2021-12-05,6972
Baden-Wurttemberg,2021-12-06,4598
Baden-Wurttemberg,2021-12-07,4531
Baden-Wurttemberg,2021-12-08,10584
Baden-Wurttemberg,2021-12-09,11351
Baden-Wurttemberg,2021-12-10,9208
Baden-Wurttemberg,2021-12-11,7888
Baden-Wurttemberg,2021-12-12,5976
Baden-Wurttemberg,2021-12-13,2770
Baden-Wurttemberg,2021-12-14,2885
Baden-Wurttemberg,2021-12-15,8268
Baden-Wurttemberg,2021-12-16,8543
Baden-Wurttemberg,2021-12-17,7141
