region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Wurttemberg,2022-01-24,,estimate,0.00935130506762606,0.0114978254211773,0.0281936271305699,-0.0307086265961259,-0.00671732115332918,0.00358095178435525,0.0160520518396523,0.0278874418756769,0.0631625488085809
Baden-Wurttemberg,2022-01-25,,estimate,0.00900593907273857,0.0111180281094549,0.0269115733766697,-0.0292176016156723,-0.00642049359363175,0.0034008912200412,0.0154827070442852,0.0265153954241821,0.0591681202748023
Baden-Wurttemberg,2022-01-26,,estimate,0.00902118052600191,0.0107331700844948,0.0257228208216253,-0.0281225610577323,-0.00563701228298847,0.00338688788805436,0.0150364641791648,0.0257946561045627,0.055825626321938
Baden-Wurttemberg,2022-01-27,,estimate,0.00874366608975725,0.0103445846383459,0.0246227159748188,-0.0273768820449664,-0.00574746609485171,0.00335343560607228,0.0146314180772938,0.025389798334467,0.0526800145272373
Baden-Wurttemberg,2022-01-28,,estimate,0.00842867067310378,0.00995369644873575,0.0236126063532738,-0.0259142758893072,-0.00553767732528141,0.00321890103211999,0.0144320443226718,0.0245590679400211,0.0505687897292369
Baden-Wurttemberg,2022-01-29,,estimate,0.00857139794766258,0.00956175651769624,0.0226992173814047,-0.024728880113467,-0.00548105773589083,0.00327496656616145,0.0138493914967604,0.0239138879401495,0.0486635067228529
Baden-Wurttemberg,2022-01-30,,estimate,0.00805635661649358,0.00916961051208968,0.0218919671782369,-0.0239207485963368,-0.00545196050171195,0.00283359713922528,0.0136757908378663,0.023293551352229,0.0465114459678005
Baden-Wurttemberg,2022-01-31,,estimate,0.00768254120855265,0.00877756310411679,0.0211986455011415,-0.0239099972785651,-0.00535317533625601,0.00275888205926053,0.0129751896491811,0.0222748305141971,0.045040941711466
Baden-Wurttemberg,2022-02-01,,estimate,0.00722313784380238,0.00838539309853926,0.0206206048308137,-0.0241693758371413,-0.00517855562327354,0.00264041792651963,0.01217734854846,0.0213504928781505,0.0438733855486121
Baden-Wurttemberg,2022-02-02,,estimate,0.00696782352333533,0.0079925424314625,0.0201490788393722,-0.0237676899996015,-0.00515136507439848,0.00252275456868074,0.011892354129063,0.0204623559348125,0.0428473747352569
Baden-Wurttemberg,2022-02-03,,estimate,0.00666883853107524,0.00759845625279076,0.0197640900353836,-0.0234181390499833,-0.00537736613361474,0.00209337695852027,0.0110499171769395,0.0199816069326886,0.0407654537493399
Baden-Wurttemberg,2022-02-04,,estimate,0.00599515201428809,0.00720300823993605,0.019436558441688,-0.0233959873488994,-0.00519304448202366,0.00203449022187587,0.0107722949567177,0.0189958284980347,0.0394736819592148
Baden-Wurttemberg,2022-02-05,,estimate,0.00569940967219107,0.0068069203061818,0.0191330860905966,-0.0233752785375731,-0.00509090731626598,0.00161899225476255,0.0102990452475082,0.0181326828706852,0.038055764969689
Baden-Wurttemberg,2022-02-06,,estimate,0.00545341240229844,0.00641208518925182,0.0188220672146453,-0.0231718963503727,-0.00539222309752541,0.00135507767098081,0.0100152288948483,0.0179602981855103,0.0367881294157765
Baden-Wurttemberg,2022-02-07,,estimate,0.00546663716508034,0.00602172006424753,0.0184795475861078,-0.0234829586246144,-0.00557677570807569,0.00113023569800529,0.00955420368725314,0.0175688087413236,0.0355184078066193
Baden-Wurttemberg,2022-02-08,,estimate,0.00515180751739303,0.00564031011696979,0.0180934907266375,-0.0233594182011593,-0.00528456568510088,0.000949517485634835,0.00911524509900575,0.0169548650889063,0.0341851258326367
Baden-Wurttemberg,2022-02-09,,estimate,0.00491806141960372,0.00527333487163026,0.0176655512975916,-0.0230789549496658,-0.00530088219142896,0.000932143857144143,0.00900156296423979,0.0160010735386894,0.0331703741546508
Baden-Wurttemberg,2022-02-10,,estimate,0.00467660804545665,0.00492680278265564,0.0172099912196602,-0.0226337369760839,-0.00560821225145117,0.000788472319970302,0.00847063739705917,0.015340172327599,0.0330611894647946
Baden-Wurttemberg,2022-02-11,,estimate,0.00446417461888751,0.00460664894962345,0.0167499944295168,-0.0228714085609643,-0.00561684791492939,0.000767491944247187,0.00823751353879488,0.0148111460988625,0.0323954518148675
Baden-Wurttemberg,2022-02-12,,estimate,0.00387921132096756,0.0043180733667364,0.0163123001331656,-0.0220409417994775,-0.00575357561666491,0.000430129963729398,0.00783050838698817,0.0142049645447821,0.0309227426835614
Baden-Wurttemberg,2022-02-13,,estimate,0.00361123627624721,0.0040649075541971,0.0159216110309013,-0.0211514273285672,-0.00570094206407282,0.000111428131824371,0.00727995870139996,0.0140157216922753,0.0302929901350203
Baden-Wurttemberg,2022-02-14,,estimate,0.00328134270653055,0.00384909134218973,0.0155963486748178,-0.0201290524502471,-0.00553712196399234,-8.73683201675777e-05,0.00699785802026049,0.0134416550068605,0.0298761794301584
Baden-Wurttemberg,2022-02-15,,estimate,0.0031240874292269,0.00367031946363366,0.0153467867749974,-0.0200414385784546,-0.00561060399124363,-0.000346014289620208,0.00677213229017819,0.0130044814108306,0.02932018575046
Baden-Wurttemberg,2022-02-16,,estimate,0.00312023587493602,0.00352588625853302,0.0151755244280308,-0.0199059566576881,-0.00583733612466338,-0.000489464805339233,0.00643894598510413,0.0126673151831108,0.0291649250734796
Baden-Wurttemberg,2022-02-17,,estimate,0.00289796658920307,0.00341072644234602,0.0150792553772344,-0.0192812855646003,-0.00568903388129582,-0.000551509037879133,0.0061827329306003,0.0125033896331839,0.0289028475660666
Baden-Wurttemberg,2022-02-18,,estimate,0.00274022257371266,0.00331762872140523,0.0150505035416442,-0.019229137970261,-0.00585102111647269,-0.000662118397246219,0.00620994829997119,0.0123372522324422,0.0283153915501214
Baden-Wurttemberg,2022-02-19,,estimate,0.00259626607851445,0.00323758895603268,0.0150785893040191,-0.0194297253318436,-0.00597086796175859,-0.000720041714788838,0.00617427359411765,0.012117662482826,0.0285215654963492
Baden-Wurttemberg,2022-02-20,,estimate,0.00240356984481663,0.00316026612143772,0.015150092178572,-0.0195842963720332,-0.0061502658746259,-0.000922775736095497,0.00603612231288721,0.0118319813105999,0.0288216215978498
Baden-Wurttemberg,2022-02-21,,estimate,0.00218393467065683,0.00307450053256315,0.0152497479230562,-0.0192562501180275,-0.0064753926021095,-0.00100058901920149,0.0059458654483834,0.0115696305996413,0.0283552681607164
Baden-Wurttemberg,2022-02-22,,estimate,0.00187185855225869,0.00296884567101643,0.0153625541985145,-0.0189442080023019,-0.00653847607772621,-0.00125623874735387,0.00570167065950725,0.0114869782410143,0.0279550803173473
Baden-Wurttemberg,2022-02-23,,estimate,0.00132060757283441,0.00283205551823422,0.0154769029590669,-0.0188684230644169,-0.00667650803544587,-0.00149863861062051,0.0049386659273625,0.0111055493200139,0.0293612210852209
Baden-Wurttemberg,2022-02-24,,estimate,0.00107700209298834,0.00265346834703685,0.0155874402008546,-0.0190176846592503,-0.00694420784629556,-0.00193290978856418,0.00460213982568153,0.0103786704916959,0.0298111260536514
Baden-Wurttemberg,2022-02-25,,estimate,0.000684128868479123,0.00242324566721464,0.0156959340219399,-0.0187228660125806,-0.00742116649184961,-0.0024616168156385,0.0040358767383526,0.0100842591049076,0.0305984836265539
Baden-Wurttemberg,2022-02-26,,estimate,0.000366025629504868,0.00213246255793136,0.0158091862670956,-0.0191315425784308,-0.00772270721605193,-0.00302200049994375,0.0033601286849369,0.00997464239428787,0.0313911431489073
Baden-Wurttemberg,2022-02-27,,estimate,-9.44125419739765e-05,0.00177308989461705,0.0159346103765118,-0.0193124679933026,-0.00807686801095747,-0.0035656865917751,0.00285561899186644,0.00940816046016469,0.031492519602867
Baden-Wurttemberg,2022-02-28,,estimate,-0.000863842059771363,0.00133793873178803,0.0160754894468337,-0.0196821652852251,-0.00868910038016904,-0.00409633110660424,0.00238799238783938,0.00861205042040039,0.0313768466362506
Baden-Wurttemberg,2022-03-01,,estimate,-0.00148620438796467,0.000820637112200988,0.0162281190549847,-0.0203815444701787,-0.00907831524107937,-0.00462684075062941,0.00181963746167003,0.00806512571613133,0.0311332888889788
Baden-Wurttemberg,2022-03-02,,estimate,-0.00228016235391728,0.000215681751715572,0.0163818842110368,-0.0212604615287536,-0.00993467451047383,-0.00533436665595281,0.00112551902491403,0.00757086953075339,0.030383720746882
Baden-Wurttemberg,2022-03-03,,estimate,-0.00291079998136519,-0.000481431213928989,0.0165217129119035,-0.0222796481656066,-0.0105811216041475,-0.00608233370307549,0.000346463942205412,0.00708934546091653,0.0295107639967421
Baden-Wurttemberg,2022-03-04,,estimate,-0.00382639656126164,-0.00127402095095895,0.0166314318314451,-0.0237087290046822,-0.0112663927593918,-0.0069003202627405,-0.000454889855740117,0.00644568262148123,0.0280268355717474
Baden-Wurttemberg,2022-03-05,,estimate,-0.00457909491281866,-0.00216401643459338,0.0166967339141738,-0.0251244059578993,-0.0121453048926149,-0.00771677740996025,-0.00122143809476798,0.00570636504972879,0.0270873598177652
Baden-Wurttemberg,2022-03-06,,estimate,-0.00535363906704544,-0.00315176072574055,0.0167072729319539,-0.0261989441135133,-0.0131904220658917,-0.00851489805639049,-0.00187154771796461,0.00446523956949336,0.0256770085428717
Baden-Wurttemberg,2022-03-07,,estimate,-0.00615486175539744,-0.0042358483578765,0.0166580729705885,-0.0276203464591473,-0.0140720159133522,-0.00934424277389426,-0.00282601341523698,0.00340653257672382,0.0251082655395178
Baden-Wurttemberg,2022-03-08,,estimate,-0.00718923020716629,-0.00541301806678807,0.0165505745357928,-0.0281271638748678,-0.0155214666706654,-0.0103478334854149,-0.0037977096646744,0.00261555251145808,0.0237840222736482
Baden-Wurttemberg,2022-03-09,,estimate,-0.0082919321861731,-0.00667812555723613,0.0163933346878542,-0.0294240922937797,-0.0165473834129664,-0.0115811219663607,-0.00478944353852063,0.00147010289747364,0.0223972294796044
Baden-Wurttemberg,2022-03-10,,estimate,-0.00950875931538794,-0.00802421846542195,0.0162020447123666,-0.0311015691933248,-0.017920141867315,-0.0126336421559407,-0.00577292981339788,0.000321992805409702,0.0208795402584094
Baden-Wurttemberg,2022-03-11,,estimate,-0.0104459031545803,-0.00944272182756658,0.0159984635333501,-0.0331686368431028,-0.0193645925900997,-0.0137600554638993,-0.00682321847388084,-0.00113590238432054,0.0182197471225593
Baden-Wurttemberg,2022-03-12,,estimate,-0.0117074013096067,-0.0109237198462805,0.0158081584918221,-0.0349907212171738,-0.0206910904316579,-0.0151747473045234,-0.0079961405756014,-0.00220691579541735,0.0157392926749001
Baden-Wurttemberg,2022-03-13,,estimate,-0.0130143193787,-0.0124562991521028,0.0156574073496876,-0.0368912656799157,-0.0221909241925667,-0.0162525301407368,-0.00939273792664187,-0.00344000127747951,0.0140887659273891
Baden-Wurttemberg,2022-03-14,,estimate,-0.0141527474526472,-0.0140289110189971,0.0155699620133281,-0.0391553382763269,-0.0236919522864216,-0.0176383149371539,-0.0105938847006907,-0.00492316395779802,0.0123452687822749
Baden-Wurttemberg,2022-03-15,,estimate,-0.0156162266064731,-0.0156297184688049,0.0155644047902678,-0.0411461336332951,-0.0253818593737475,-0.0191622796918309,-0.0121821840127994,-0.00602788098212801,0.00996209275092167
Baden-Wurttemberg,2022-03-16,,estimate,-0.0169595181691972,-0.0172469123063465,0.0156525340747782,-0.0434672794837329,-0.0272540755646932,-0.0208035556205408,-0.0132696322139845,-0.00740499818829228,0.00825675974991411
Baden-Wurttemberg,2022-03-17,,estimate,-0.0181587292819633,-0.0188689956764509,0.0158387969648839,-0.046154856281431,-0.0288502258846109,-0.0223041706313652,-0.0144795909107835,-0.00834586996082507,0.00627715836692155
Baden-Wurttemberg,2022-03-18,,estimate,-0.0193578276643326,-0.0204850397719119,0.0161205284150541,-0.0483310696707309,-0.0306025913994337,-0.0240718655004871,-0.0154919671725602,-0.00976772810740817,0.00418985386871314
Baden-Wurttemberg,2022-03-19,,estimate,-0.0209780568458038,-0.0220849026725994,0.0164888108259631,-0.0511337636274498,-0.032464786386942,-0.025389386020173,-0.0167285723012198,-0.0109893131620822,0.00287896663274233
Baden-Wurttemberg,2022-03-20,,estimate,-0.022527000267741,-0.0236593880020719,0.016930001758215,-0.0525243321410638,-0.0342369739903371,-0.0269894956383693,-0.0182506677631847,-0.0121883719561776,0.0021038419102666
Baden-Wurttemberg,2022-03-21,,estimate,-0.0238112278853642,-0.0252003144578664,0.0174280809979074,-0.055347680549244,-0.035908982655517,-0.0284376546357153,-0.0193561947790631,-0.013324178353208,0.0014860415917639
Baden-Wurttemberg,2022-03-22,,estimate,-0.0254725182650876,-0.026700481708086,0.0179677338133037,-0.0580008537960427,-0.0375971489609506,-0.0300493340237401,-0.0208496796318766,-0.0141920963109693,0.000667860388049186
Baden-Wurttemberg,2022-03-23,,estimate,-0.0268863614656067,-0.0281535508799967,0.018537599285079,-0.0600487527014703,-0.0392645320566626,-0.0316856788298542,-0.0223866594985186,-0.0151886880941778,-0.000159678516741008
Baden-Wurttemberg,2022-03-24,,estimate,-0.0282263735677338,-0.0295538933231783,0.0191327039112514,-0.0619255095703804,-0.041141760007838,-0.0335318451679955,-0.0236450537237399,-0.0159528634075207,-0.000760862718890583
Baden-Wurttemberg,2022-03-25,,estimate,-0.02964709868547,-0.0308964778643752,0.0197551351480026,-0.0647254418231575,-0.0430013739848085,-0.0351479112285573,-0.0245417819821165,-0.0169203467557289,-0.00133221659389424
Baden-Wurttemberg,2022-03-26,,estimate,-0.0311041106165631,-0.0321768504678591,0.0204126205676612,-0.0671536084018804,-0.0443946911568566,-0.036382099082133,-0.0255429142452073,-0.0178076995198521,-0.00149795278642836
Baden-Wurttemberg,2022-03-27,,estimate,-0.0324671904003666,-0.0333912158047073,0.0211156066282644,-0.0695633942681221,-0.0463183962177278,-0.0374862031989892,-0.0265346294122224,-0.0181886478869772,-0.00160497335040109
Baden-Wurttemberg,2022-03-28,,estimate,-0.0334297001925372,-0.0345365801725831,0.0218741228739897,-0.0723969505646948,-0.0482604827059202,-0.0386516502560682,-0.0280116077495219,-0.0187272902443262,-0.00160336187960166
Baden-Wurttemberg,2022-03-29,,estimate,-0.0343926689233049,-0.0356108860417793,0.022695708784583,-0.0750013968481401,-0.0497379491720575,-0.0392050409934485,-0.0288807566374021,-0.0191252214574139,-0.00140129138415426
Baden-Wurttemberg,2022-03-30,,estimate,-0.0348448264972432,-0.036613074069856,0.0235849857422944,-0.0771327585878834,-0.0514227376559168,-0.040240705139262,-0.029484030963918,-0.0196209890043714,-0.00136164041241077
Baden-Wurttemberg,2022-03-31,,estimate,-0.0356735554762803,-0.0375430422230823,0.0245445691803078,-0.0801722677275407,-0.0526930413431316,-0.0411965551324922,-0.0298960433726952,-0.0199626824733318,-0.00128942639138306
Baden-Wurttemberg,2022-04-01,,estimate,-0.0362040365160516,-0.0384015129790754,0.0255764931750656,-0.083225184216257,-0.0546857965491116,-0.0424154713871328,-0.0303294449127143,-0.0201145503644419,-0.00128122472454523
Baden-Wurttemberg,2022-04-02,,estimate,-0.0367721371062135,-0.0391898476005625,0.0266833639457261,-0.085425523265682,-0.0561662658564483,-0.0433689281648295,-0.030583803462207,-0.0200633504431238,-0.000963942709320354
Baden-Wurttemberg,2022-04-03,,estimate,-0.037669679318465,-0.0399098518612668,0.0278688598036971,-0.0879728345936651,-0.0570485382776456,-0.0443880793508448,-0.0309289569798232,-0.0200970117679977,-0.000485299992151428
Baden-Wurttemberg,2022-04-04,,estimate,-0.0381699933307884,-0.0405636054054503,0.0291375858365343,-0.0904907910752131,-0.0583265786335811,-0.0451638950279967,-0.0313628479028316,-0.019799762730669,0.000265519135101062
Baden-Wurttemberg,2022-04-05,,estimate,-0.0385430362316084,-0.0411533302435586,0.0304944393517021,-0.0943067454417702,-0.059044769315756,-0.0456917916870484,-0.0315433791712442,-0.0194187276297878,0.00112047887565564
Baden-Wurttemberg,2022-04-06,,estimate,-0.0386539597565294,-0.0416813037621309,0.0319435770737167,-0.0986753714991787,-0.0600013183072745,-0.0465333012085077,-0.0316852104677422,-0.0189670806713633,0.0022745216963019
Baden-Wurttemberg,2022-04-07,,estimate based on partial data,-0.0388309968896754,-0.0421498198675599,0.0334870089837177,-0.102656103429526,-0.0612582248060755,-0.0474037348285332,-0.0315945113397462,-0.018664139297413,0.00402621236010284
Baden-Wurttemberg,2022-04-08,,estimate based on partial data,-0.0392984269820175,-0.042561201426243,0.0351229583167842,-0.10647284589767,-0.0619908838957472,-0.0473516558244022,-0.0315408472197402,-0.0182383996645221,0.00532976859995324
Baden-Wurttemberg,2022-04-09,,estimate based on partial data,-0.0396635311509035,-0.0429178591469028,0.0368444037459694,-0.10949490897124,-0.0628781499021192,-0.048193086196259,-0.0313288976853282,-0.017936051277528,0.00640278464201704
Baden-Wurttemberg,2022-04-10,,estimate based on partial data,-0.0395719301902218,-0.0432223742546914,0.0386384500874797,-0.114042504266574,-0.06370407852357,-0.0483260548575763,-0.0307428690232328,-0.0175685032134007,0.00888298376585801
Baden-Wurttemberg,2022-04-11,,estimate based on partial data,-0.0399098618595575,-0.0434775628229361,0.040487130163571,-0.117307020002944,-0.0650154727668765,-0.0486957462073391,-0.0307214399026605,-0.0166501212830074,0.0120589909840782
Baden-Wurttemberg,2022-04-12,,estimate based on partial data,-0.0400461581581765,-0.0436864728713938,0.042369843962639,-0.118353867054221,-0.0661406986419934,-0.0489742947017621,-0.0307186603428249,-0.016062780397456,0.0157800563885739
Baden-Wurttemberg,2022-04-13,,estimate based on partial data,-0.0400507661557097,-0.0438522823776447,0.0442670123895904,-0.121255029438575,-0.0672927350621322,-0.0493657085185661,-0.0302258233417813,-0.0155677248292258,0.018939505952232
Baden-Wurttemberg,2022-04-14,,estimate based on partial data,-0.0400114746960065,-0.0439781054637264,0.0461639262144742,-0.124937717171942,-0.0686174203542374,-0.0496830443903664,-0.0293428643829757,-0.0145143826035987,0.0220161742703683
Baden-Wurttemberg,2022-04-15,,estimate based on partial data,-0.0397382529606365,-0.0440667584002494,0.0480535096254874,-0.128010396987177,-0.0696666072293656,-0.0498742360896519,-0.028946790186844,-0.0139890707964382,0.0246352000012775
Baden-Wurttemberg,2022-04-16,,estimate based on partial data,-0.0398362283965082,-0.0441205629998354,0.0499369935711188,-0.130832708644306,-0.0703170255097649,-0.0503723037507318,-0.0287055602850406,-0.0135628077261826,0.0246512474468888
Baden-Wurttemberg,2022-04-17,,estimate based on partial data,-0.0398294176371104,-0.0441412566062076,0.0518222592537387,-0.134441460099193,-0.0708948703322562,-0.0505516768450532,-0.0278716401219631,-0.0131134544685758,0.0278682077300923
Baden-Wurttemberg,2022-04-18,,forecast,-0.0398294176371104,-0.0441412566062076,0.0518222592537387,-0.134441460099193,-0.0708948703322562,-0.0505516768450532,-0.0278716401219631,-0.0131134544685758,0.0278682077300923
Baden-Wurttemberg,2022-04-19,,forecast,-0.0398294176371104,-0.0441412566062076,0.0518222592537387,-0.134441460099193,-0.0708948703322562,-0.0505516768450532,-0.0278716401219631,-0.0131134544685758,0.0278682077300923
