region,date,confirm
Germany,2020-08-17,1
Germany,2020-08-18,0
Germany,2020-08-19,11
Germany,2020-08-20,10
Germany,2020-08-21,7
Germany,2020-08-22,7
Germany,2020-08-23,2
Germany,2020-08-24,3
Germany,2020-08-25,5
Germany,2020-08-26,3
Germany,2020-08-27,5
Germany,2020-08-28,3
Germany,2020-08-29,1
Germany,2020-08-30,6
Germany,2020-08-31,3
Germany,2020-09-01,4
Germany,2020-09-02,11
Germany,2020-09-03,8
Germany,2020-09-04,1
Germany,2020-09-05,2
Germany,2020-09-06,1
Germany,2020-09-07,0
Germany,2020-09-08,4
Germany,2020-09-09,9
Germany,2020-09-10,3
Germany,2020-09-11,1
Germany,2020-09-12,5
Germany,2020-09-13,2
Germany,2020-09-14,1
Germany,2020-09-15,12
Germany,2020-09-16,6
Germany,2020-09-17,3
Germany,2020-09-18,7
Germany,2020-09-19,6
Germany,2020-09-20,2
Germany,2020-09-21,0
Germany,2020-09-22,10
Germany,2020-09-23,13
Germany,2020-09-24,19
Germany,2020-09-25,15
Germany,2020-09-26,9
Germany,2020-09-27,5
Germany,2020-09-28,3
Germany,2020-09-29,11
Germany,2020-09-30,17
Germany,2020-10-01,12
Germany,2020-10-02,8
Germany,2020-10-03,19
Germany,2020-10-04,2
Germany,2020-10-05,5
Germany,2020-10-06,12
Germany,2020-10-07,16
Germany,2020-10-08,16
Germany,2020-10-09,11
Germany,2020-10-10,15
Germany,2020-10-11,11
Germany,2020-10-12,0
Poland,2020-08-17,8
Poland,2020-08-18,8
Poland,2020-08-19,11
Poland,2020-08-20,17
Poland,2020-08-21,12
Poland,2020-08-22,13
Poland,2020-08-23,13
Poland,2020-08-24,4
Poland,2020-08-25,5
Poland,2020-08-26,17
Poland,2020-08-27,17
Poland,2020-08-28,16
Poland,2020-08-29,8
Poland,2020-08-30,14
Poland,2020-08-31,1
Poland,2020-09-01,6
Poland,2020-09-02,19
Poland,2020-09-03,20
Poland,2020-09-04,14
Poland,2020-09-05,8
Poland,2020-09-06,13
Poland,2020-09-07,7
Poland,2020-09-08,4
Poland,2020-09-09,12
Poland,2020-09-10,11
Poland,2020-09-11,12
Poland,2020-09-12,10
Poland,2020-09-13,13
Poland,2020-09-14,6
Poland,2020-09-15,15
Poland,2020-09-16,24
Poland,2020-09-17,10
Poland,2020-09-18,16
Poland,2020-09-19,17
Poland,2020-09-20,12
Poland,2020-09-21,11
Poland,2020-09-22,5
Poland,2020-09-23,18
Poland,2020-09-24,28
Poland,2020-09-25,25
Poland,2020-09-26,23
Poland,2020-09-27,32
Poland,2020-09-28,8
Poland,2020-09-29,15
Poland,2020-09-30,36
Poland,2020-10-01,30
Poland,2020-10-02,30
Poland,2020-10-03,27
Poland,2020-10-04,34
Poland,2020-10-05,0
Poland,2020-10-06,55
Poland,2020-10-07,58
Poland,2020-10-08,75
Poland,2020-10-09,75
Poland,2020-10-10,52
Poland,2020-10-11,53
Poland,2020-10-12,32
