region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Germany,2020-09-07,,estimate,7,7,1,5,6,7,7,8,9
Germany,2020-09-08,,estimate,7,7,1,6,7,7,8,8,9
Germany,2020-09-09,,estimate,8,8,1,6,7,7,8,8,10
Germany,2020-09-10,,estimate,8,8,1,6,7,8,8,9,10
Germany,2020-09-11,,estimate,8,9,1,7,8,8,9,9,11
Germany,2020-09-12,,estimate,9,9,1,7,8,9,9,10,11
Germany,2020-09-13,,estimate,9,9,1,7,8,9,10,10,12
Germany,2020-09-14,,estimate,10,10,2,8,9,9,10,11,12
Germany,2020-09-15,,estimate,10,10,2,8,9,10,10,11,13
Germany,2020-09-16,,estimate,11,11,2,8,10,10,11,12,13
Germany,2020-09-17,,estimate,11,11,2,9,10,11,11,12,14
Germany,2020-09-18,,estimate,12,12,2,9,11,11,12,13,15
Germany,2020-09-19,,estimate,12,12,2,9,11,12,12,13,15
Germany,2020-09-20,,estimate,13,13,2,10,11,12,13,14,16
Germany,2020-09-21,,estimate,13,13,2,10,12,13,14,14,17
Germany,2020-09-22,,estimate,14,14,2,10,12,13,14,15,17
Germany,2020-09-23,,estimate,14,14,2,11,13,14,15,16,18
Germany,2020-09-24,,estimate,15,15,2,11,14,15,16,17,19
Poland,2020-09-07,,estimate,16,16,2,12,14,15,17,18,20
Germany,2020-09-25,,estimate,16,16,3,12,14,15,16,17,20
Germany,2020-09-26,,estimate,17,17,3,12,15,16,17,18,21
Poland,2020-09-08,,estimate,17,17,3,13,15,16,17,18,21
Germany,2020-09-27,,estimate,17,18,3,13,16,17,18,19,22
Poland,2020-09-09,,estimate,17,18,3,14,16,17,18,19,22
Poland,2020-09-10,,estimate,18,18,3,14,16,18,19,20,23
Germany,2020-09-28,,estimate,18,18,3,14,17,18,19,20,23
Poland,2020-09-11,,estimate,19,19,3,15,17,18,20,21,24
Germany,2020-09-29,,estimate,19,20,3,15,18,19,20,21,24
Poland,2020-09-12,,estimate,20,20,3,16,18,19,21,22,26
Germany,2020-09-30,,estimate,20,21,3,16,19,20,21,23,26
Poland,2020-09-13,,estimate,21,21,3,17,19,21,22,23,27
Germany,2020-10-01,,estimate,22,22,3,17,20,21,23,24,28
Poland,2020-09-14,,estimate,23,23,3,18,21,22,23,25,28
Germany,2020-10-02,,estimate based on partial data,23,23,4,18,21,22,24,25,30
Poland,2020-09-15,,estimate,24,24,3,19,22,23,25,26,30
Germany,2020-10-03,,estimate based on partial data,24,25,4,18,22,23,25,27,32
Poland,2020-09-16,,estimate,25,26,4,20,23,25,26,28,32
Germany,2020-10-04,,estimate based on partial data,26,26,5,19,23,25,27,29,35
Poland,2020-09-17,,estimate,27,27,4,22,25,26,28,30,34
Germany,2020-10-05,,estimate based on partial data,27,28,6,20,24,26,29,31,38
Poland,2020-09-18,,estimate,29,29,4,23,26,28,30,32,36
Germany,2020-10-06,,estimate based on partial data,29,29,6,20,25,27,30,33,41
Germany,2020-10-07,,estimate based on partial data,30,31,7,21,26,28,32,35,45
Poland,2020-09-19,,estimate,31,31,4,25,28,30,32,34,39
Germany,2020-10-08,,estimate based on partial data,32,33,9,22,27,30,34,38,49
Poland,2020-09-20,,estimate,33,34,5,26,30,32,34,36,42
Germany,2020-10-09,,estimate based on partial data,34,35,10,22,28,31,36,41,53
Germany,2020-10-10,,estimate based on partial data,35,38,12,23,30,33,38,44,59
Poland,2020-09-21,,estimate,36,36,5,28,33,35,37,39,45
Germany,2020-10-11,,estimate based on partial data,37,40,14,24,31,35,40,47,65
Poland,2020-09-22,,estimate,38,39,5,30,35,37,40,42,48
Germany,2020-10-12,,estimate based on partial data,39,43,16,24,32,36,43,50,71
Poland,2020-09-23,,estimate,41,42,6,33,38,40,43,45,52
Germany,2020-10-13,,estimate based on partial data,41,46,18,25,34,38,45,53,78
Germany,2020-10-14,,estimate based on partial data,44,49,21,26,35,40,48,57,86
Poland,2020-09-24,,estimate,45,45,6,35,41,43,46,49,56
Germany,2020-10-15,,estimate based on partial data,46,52,24,26,36,42,51,61,96
Poland,2020-09-25,,estimate,48,49,7,39,44,47,50,53,60
Germany,2020-10-16,,estimate based on partial data,48,56,28,27,38,44,54,66,106
Germany,2020-10-17,,estimate based on partial data,51,59,32,28,40,46,57,71,117
Poland,2020-09-26,,estimate,52,53,7,42,48,50,54,57,65
Germany,2020-10-18,,estimate based on partial data,53,64,37,28,41,48,60,75,129
Poland,2020-09-27,,estimate,56,57,8,45,52,54,58,62,70
Germany,2020-10-19,,estimate based on partial data,56,68,43,29,43,51,64,81,142
Germany,2020-10-20,,forecast,59,73,50,30,45,53,67,86,157
Poland,2020-09-28,,estimate,61,62,8,50,56,59,63,66,75
Germany,2020-10-21,,forecast,62,79,58,31,47,56,71,93,174
Poland,2020-09-29,,estimate,66,67,8,54,61,64,68,72,81
Germany,2020-10-22,,forecast,66,85,67,31,49,58,76,99,192
Germany,2020-10-23,,forecast,69,91,77,32,51,61,80,106,213
Poland,2020-09-30,,estimate,72,72,9,59,66,70,74,78,87
Germany,2020-10-24,,forecast,73,98,90,33,53,64,85,113,236
Germany,2020-10-25,,forecast,77,106,104,34,55,67,90,121,262
Poland,2020-10-01,,estimate,78,78,9,64,72,75,80,84,94
Germany,2020-10-26,,forecast,81,114,121,35,57,70,96,129,292
Poland,2020-10-02,,estimate based on partial data,84,85,11,69,78,82,87,92,103
Germany,2020-10-27,,forecast,86,123,141,36,60,74,101,138,322
Germany,2020-10-28,,forecast,90,134,165,37,62,77,107,148,356
Poland,2020-10-03,,estimate based on partial data,91,92,12,73,84,88,94,100,114
Germany,2020-10-29,,forecast,95,145,193,37,65,81,113,159,391
Poland,2020-10-04,,estimate based on partial data,99,100,15,78,90,95,103,109,126
Germany,2020-10-30,,forecast,100,157,226,39,67,85,120,170,431
Germany,2020-10-31,,forecast,106,171,265,39,70,89,127,182,477
Poland,2020-10-05,,estimate based on partial data,107,109,17,82,96,103,112,119,140
Germany,2020-11-01,,forecast,111,186,312,40,73,93,135,195,530
Poland,2020-10-06,,estimate based on partial data,116,118,21,87,103,111,122,131,155
