Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Wurttemberg,635 (145 -- 1792),Likely decreasing,0.91 (0.61 -- 1.1),-0.025 (-0.12 -- 0.033),-28 (21 -- -6)
Bavaria,157 (8 -- 606),Likely decreasing,0.79 (0.39 -- 1),-0.061 (-0.19 -- 0.0036),-11 (190 -- -3.6)
Berlin,27 (0 -- 355),Likely decreasing,0.75 (0.25 -- 1.3),-0.07 (-0.24 -- 0.077),-9.9 (9 -- -2.9)
Brandenburg,45 (0 -- 327),Likely decreasing,0.81 (0.13 -- 1.2),-0.055 (-0.29 -- 0.063),-13 (11 -- -2.4)
Bremen,13 (0 -- 218),Likely decreasing,0.85 (0.017 -- 1.4),-0.042 (-0.37 -- 0.1),-17 (6.7 -- -1.9)
Dolnośląskie,668 (51 -- 26811),Likely increasing,1.2 (0.72 -- 3),0.047 (-0.081 -- 0.45),15 (1.5 -- -8.5)
Germany,1628 (621 -- 4095),Likely decreasing,0.84 (0.67 -- 1),-0.046 (-0.096 -- 0.012),-15 (58 -- -7.2)
Hamburg,63 (11 -- 720),Likely decreasing,0.92 (0.65 -- 1.6),-0.022 (-0.1 -- 0.15),-31 (4.8 -- -6.8)
Hesse,219 (33 -- 727),Likely decreasing,0.87 (0.56 -- 1.1),-0.037 (-0.13 -- 0.028),-19 (25 -- -5.3)
Kujawsko-Pomorskie,30 (2 -- 320),Likely decreasing,0.81 (0.4 -- 1.3),-0.053 (-0.19 -- 0.089),-13 (7.8 -- -3.7)
Lower Saxony,325 (109 -- 2030),Likely decreasing,0.92 (0.76 -- 1.3),-0.023 (-0.068 -- 0.09),-30 (7.7 -- -10)
Lubelskie,28 (0 -- 131),Likely decreasing,0.79 (0.3 -- 1),-0.06 (-0.22 -- 0.013),-12 (55 -- -3.2)
Lubuskie,29 (2 -- 1678),Likely decreasing,0.89 (0.45 -- 2.1),-0.032 (-0.16 -- 0.27),-22 (2.5 -- -4.3)
Mazowieckie,48 (4 -- 196),Likely decreasing,0.79 (0.49 -- 1.1),-0.058 (-0.15 -- 0.018),-12 (39 -- -4.5)
Małopolskie,82 (20 -- 667),Likely decreasing,0.84 (0.6 -- 1.3),-0.046 (-0.12 -- 0.072),-15 (9.6 -- -5.9)
Mecklenburg-Vorpommern,39 (3 -- 427),Likely decreasing,0.85 (0.49 -- 1.4),-0.042 (-0.16 -- 0.11),-16 (6.3 -- -4.4)
North Rhine-Westphalia,406 (104 -- 1563),Likely decreasing,0.87 (0.69 -- 1.2),-0.036 (-0.09 -- 0.063),-19 (11 -- -7.7)
Opolskie,8 (0 -- 78),Likely decreasing,0.76 (0.28 -- 1.1),-0.069 (-0.22 -- 0.04),-10 (17 -- -3.1)
Podkarpackie,6 (0 -- 42),Likely decreasing,0.73 (0.26 -- 1.1),-0.077 (-0.24 -- 0.031),-9 (22 -- -2.9)
Podlaskie,0 (0 -- 14),Likely decreasing,0.46 (0.018 -- 1.2),-0.16 (-0.36 -- 0.059),-4.3 (12 -- -1.9)
Poland,400 (117 -- 1101),Likely decreasing,0.8 (0.61 -- 1),-0.057 (-0.11 -- 0.012),-12 (57 -- -6)
Pomorskie,9 (0 -- 379),Likely decreasing,0.59 (0.016 -- 1.7),-0.12 (-0.36 -- 0.16),-5.7 (4.3 -- -1.9)
Rhineland-Palatinate,0 (0 -- 78),Likely decreasing,0.34 (0.0095 -- 1.1),-0.21 (-0.37 -- 0.031),-3.3 (22 -- -1.9)
Saarland,57 (3 -- 1343),Likely decreasing,0.91 (0.42 -- 1.9),-0.024 (-0.18 -- 0.22),-29 (3.2 -- -3.9)
Saxony,40 (1 -- 1560),Likely decreasing,0.69 (0.25 -- 1.9),-0.09 (-0.24 -- 0.21),-7.7 (3.2 -- -2.9)
Saxony-Anhalt,5 (0 -- 161),Likely decreasing,0.65 (0.2 -- 1.4),-0.1 (-0.26 -- 0.11),-6.7 (6.4 -- -2.7)
Schleswig-Holstein,40 (1 -- 3671),Stable,0.93 (0.44 -- 2.8),-0.02 (-0.17 -- 0.41),-35 (1.7 -- -4.1)
Thuringia,190 (37 -- 2223),Likely decreasing,0.87 (0.63 -- 1.5),-0.035 (-0.11 -- 0.13),-20 (5.2 -- -6.4)
Warmińsko-Mazurskie,7 (0 -- 98),Likely decreasing,0.72 (0.27 -- 1.3),-0.082 (-0.23 -- 0.066),-8.5 (10 -- -3)
Wielkopolskie,10 (0 -- 81),Likely decreasing,0.67 (0.16 -- 1),-0.095 (-0.28 -- 0.0049),-7.3 (140 -- -2.5)
Zachodniopomorskie,7 (0 -- 63),Decreasing,0.71 (0.23 -- 1),-0.085 (-0.25 -- 9e-04),-8.2 (770 -- -2.8)
Łódzkie,50 (10 -- 562),Likely decreasing,0.81 (0.59 -- 1.4),-0.053 (-0.12 -- 0.11),-13 (6.4 -- -5.6)
Śląskie,10 (0 -- 89),Decreasing,0.61 (0.15 -- 1),-0.11 (-0.29 -- 0.00034),-6.1 (2000 -- -2.4)
Świętokrzyskie,14 (0 -- 111),Likely decreasing,0.73 (0.24 -- 1.1),-0.078 (-0.25 -- 0.021),-8.9 (34 -- -2.8)
