region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Rhineland-Palatinate,16554 (20 -- 1737800),16554,351792,1242860,20,818,6041,38758,163524,1737800,New confirmed cases by infection date,Likely increasing,0.17
Saxony-Anhalt,1634 (59 -- 53600),1634,16065,84606,59,453,974,2768,6594,53600,New confirmed cases by infection date,Likely increasing,0.21
Germany,1543 (714 -- 7685),1543,2521,3403,714,1095,1336,1830,2627,7685,New confirmed cases by infection date,Likely decreasing,0.7
Mecklenburg-Vorpommern,869 (57 -- 46217),869,24295,175745,57,248,554,1441,3494,46217,New confirmed cases by infection date,Likely increasing,0.2
Baden-Wurttemberg,438 (148 -- 3624),438,1388,8066,148,292,378,518,793,3624,New confirmed cases by infection date,Likely decreasing,0.72
North Rhine-Westphalia,331 (121 -- 1333),331,520,1199,121,224,285,397,531,1333,New confirmed cases by infection date,Likely decreasing,0.78
Poland,212 (64 -- 629),212,271,331,64,147,186,242,306,629,New confirmed cases by infection date,Decreasing,0.96
Saxony,120 (3 -- 2375),120,782,6134,3,39,81,184,371,2375,New confirmed cases by infection date,Likely decreasing,0.66
Podkarpackie,90 (3 -- 2006),90,952,11480,3,29,59,149,314,2006,New confirmed cases by infection date,Stable,0.51
Bavaria,88 (12 -- 469),88,407,8667,12,47,69,106,151,469,New confirmed cases by infection date,Likely decreasing,0.88
Berlin,85 (9 -- 2005),85,925,10702,9,38,61,124,249,2005,New confirmed cases by infection date,Likely decreasing,0.66
Hesse,65 (3 -- 314),65,195,3037,3,27,50,82,124,314,New confirmed cases by infection date,Likely decreasing,0.89
Bremen,56 (4 -- 1024),56,3187,66874,4,25,41,77,137,1024,New confirmed cases by infection date,Stable,0.49
Lower Saxony,43 (1 -- 201),43,85,515,1,15,30,60,88,201,New confirmed cases by infection date,Likely decreasing,0.93
Hamburg,34 (2 -- 247),34,82,308,2,15,25,46,70,247,New confirmed cases by infection date,Likely decreasing,0.81
Dolnośląskie,31 (0 -- 255),31,119,1448,0,13,23,41,68,255,New confirmed cases by infection date,Likely decreasing,0.86
Thuringia,27 (0 -- 130),27,52,200,0,11,21,34,50,130,New confirmed cases by infection date,Likely decreasing,0.93
Mazowieckie,26 (1 -- 166),26,58,201,1,12,20,33,49,166,New confirmed cases by infection date,Likely decreasing,0.91
