region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Wurttemberg,2021-05-09,,estimate,-0.0266004414516108,-0.0274719889566442,0.0179144869506956,-0.0592604039492842,-0.0353202223536961,-0.0290416514959872,-0.0240015919425199,-0.0190418962065383,-0.00114770524068866
Baden-Wurttemberg,2021-05-10,,estimate,-0.0266344460935527,-0.0275845898142901,0.0166853446111193,-0.0589921519198537,-0.0353445436725763,-0.0290144108282181,-0.0241073619587125,-0.0193602173410611,-0.00321549188739478
Baden-Wurttemberg,2021-05-11,,estimate,-0.0268230039350563,-0.0276967105043935,0.0157132561143905,-0.0577586337383323,-0.0346359675961894,-0.0291086948812411,-0.0241972575252554,-0.0197304209208418,-0.00457280947837369
Baden-Wurttemberg,2021-05-12,,estimate,-0.0267339199096867,-0.0278070898366499,0.0149760953201342,-0.0566050478295923,-0.0337774215512467,-0.0289750564058135,-0.0245030975930222,-0.0199833984392415,-0.00606815740558865
Baden-Wurttemberg,2021-05-13,,estimate,-0.0266786335396809,-0.0279127733811696,0.0144297835471736,-0.055469802708448,-0.0340410031471131,-0.029026097008593,-0.0243618547033006,-0.020182416944683,-0.0072810634798341
Baden-Wurttemberg,2021-05-14,,estimate,-0.0267825899084714,-0.0280090542756885,0.0140176883138656,-0.054440182659279,-0.0339531625296158,-0.0291630864363895,-0.0244932461015798,-0.0201223031051452,-0.00815783433110398
Baden-Wurttemberg,2021-05-15,,estimate,-0.0267748875315966,-0.0280896465026284,0.0136818868013439,-0.053259512888644,-0.0339145744000658,-0.029128410833723,-0.0246234133823816,-0.0205685967444688,-0.00899661235121009
Baden-Wurttemberg,2021-05-16,,estimate,-0.0269275354349877,-0.0281470714398223,0.0133725141993929,-0.0523325142609846,-0.0338490409534065,-0.029150636050485,-0.0247195185823772,-0.0207871898183156,-0.00937064010543533
Baden-Wurttemberg,2021-05-17,,estimate,-0.0270152056679026,-0.0281732074209083,0.0130531746827649,-0.0509597996725903,-0.0337583632743805,-0.0292211924193425,-0.0247623997684041,-0.0208745967382199,-0.00977103437272013
Baden-Wurttemberg,2021-05-18,,estimate,-0.026978744065574,-0.028159934399871,0.0127024268849475,-0.0503169896817374,-0.0335047758785118,-0.029300936442532,-0.0248081236123298,-0.0209710385557322,-0.0103137362075335
Baden-Wurttemberg,2021-05-19,,estimate,-0.0269121567475895,-0.0280998004718955,0.0123125028278243,-0.0487209574716484,-0.0331872718732961,-0.0292317959296503,-0.0247687181970593,-0.0211277458388289,-0.010790447014882
Baden-Wurttemberg,2021-05-20,,estimate,-0.0267846975665682,-0.0279866419401444,0.0118866843994551,-0.0482750444802652,-0.032628627274518,-0.0290215742899606,-0.0248282201940451,-0.0212490481087631,-0.0113955211972482
Baden-Wurttemberg,2021-05-21,,estimate,-0.0266924073821895,-0.027816102229993,0.0114365579737527,-0.0470813348900876,-0.0323059759630518,-0.0289021458501487,-0.0248588494829589,-0.0215174299217267,-0.0117329975351433
Baden-Wurttemberg,2021-05-22,,estimate,-0.0265674865669236,-0.0275860151778711,0.0109799370636705,-0.0460462520171715,-0.0319263562273887,-0.0285231367720134,-0.0248863171653571,-0.0217217165853824,-0.0119111174297053
Baden-Wurttemberg,2021-05-23,,estimate,-0.0263529011603978,-0.0272966410939337,0.0105396236971982,-0.0448417302167728,-0.0318756948630998,-0.0282311677930572,-0.0247193825722027,-0.0215679275670889,-0.0119270371683341
Baden-Wurttemberg,2021-05-24,,estimate,-0.0261276109249988,-0.0269507635232094,0.0101424209845279,-0.0440125335877873,-0.0315805267124755,-0.0281389342074019,-0.0244361627008721,-0.0212384760681101,-0.0116587480494074
Baden-Wurttemberg,2021-05-25,,estimate,-0.0259918476407445,-0.0265536648766021,0.0098171718471569,-0.0429279989274187,-0.0312801750692145,-0.0278679218937883,-0.0242253727083194,-0.0210494951661508,-0.0110465025245786
Baden-Wurttemberg,2021-05-26,,estimate,-0.0257214760527355,-0.0261129975496799,0.0095906033563687,-0.0425998832774209,-0.0309142191750807,-0.0274906913295499,-0.0239939742606592,-0.0209287637438403,-0.0108393163906862
Baden-Wurttemberg,2021-05-27,,estimate,-0.0254887124228828,-0.0256385569338102,0.00948093022857821,-0.042348392829777,-0.0303512742564687,-0.027075827643511,-0.0237773451628324,-0.0206004826191289,-0.010627447453357
Baden-Wurttemberg,2021-05-28,,estimate,-0.0252048361591584,-0.025141951777106,0.00949130478234471,-0.0411195261154321,-0.0298884545913318,-0.0269664855606226,-0.0235955878507501,-0.0202845126671874,-0.0101828767103877
Baden-Wurttemberg,2021-05-29,,estimate,-0.0249502576188249,-0.0246361644591929,0.00960665892322464,-0.0398118773646572,-0.0295563028649018,-0.0265987821078883,-0.0233916591655636,-0.0199904456583113,-0.00895639729193506
Baden-Wurttemberg,2021-05-30,,estimate,-0.0246744200488013,-0.024135003805438,0.0097963244501101,-0.0390634379391389,-0.0291404044515961,-0.0263267831156601,-0.023021222167096,-0.0196578281277875,-0.0083046867241795
Baden-Wurttemberg,2021-05-31,,estimate,-0.0245413985899685,-0.0236524742296873,0.0100215335297143,-0.0383259972589238,-0.0288260688342077,-0.0260906824776257,-0.0228307336083472,-0.0194222048640014,-0.00662821870214496
Baden-Wurttemberg,2021-06-01,,estimate,-0.0243109181515811,-0.0232021091536992,0.0102444397479394,-0.0373216555629081,-0.0285853427078133,-0.0258123369180119,-0.0226570166742469,-0.0190328180201366,-0.00525859974103735
Baden-Wurttemberg,2021-06-02,,estimate,-0.024139001516619,-0.0227963330900667,0.0104354070501788,-0.0366227478250494,-0.0283489389400875,-0.0256796719283668,-0.0225217092736042,-0.0186554085050664,-0.00344870148580262
Baden-Wurttemberg,2021-06-03,,estimate,-0.0240898739530232,-0.0224459173238441,0.0105769486309977,-0.0360295422594776,-0.0281883397327955,-0.0256184400328761,-0.0223129025769934,-0.0184993488336114,-0.00298642474308888
Baden-Wurttemberg,2021-06-04,,estimate,-0.02402475603793,-0.0221595773966946,0.0106642125109988,-0.0353776381559194,-0.0279469289930626,-0.0255085618293003,-0.0221238978155034,-0.0183800639646855,-0.00203928112267651
Baden-Wurttemberg,2021-06-05,,estimate,-0.023673951335169,-0.0219437329415771,0.0107027434072517,-0.0350111695398498,-0.0277525867131069,-0.0253661509911822,-0.0220200353268519,-0.0183527191601812,-0.000936572674022136
Baden-Wurttemberg,2021-06-06,,estimate,-0.0235074283919345,-0.021802422699447,0.0107045878275767,-0.0348949204025294,-0.0276284552334428,-0.0253050360804805,-0.021849628757372,-0.0181283342339411,-0.00139666282757894
Baden-Wurttemberg,2021-06-07,,estimate,-0.0234837885145619,-0.0217373492325209,0.0106838671891084,-0.0349755117681267,-0.0277259432747201,-0.0252512412943454,-0.02164769903517,-0.0179035799775463,-0.00179995605999136
Baden-Wurttemberg,2021-06-08,,estimate,-0.0235620885981732,-0.0217480220025948,0.0106527960275822,-0.0348233756976928,-0.0277728669359264,-0.0252475644778446,-0.0215459459994701,-0.0178977266693593,-0.00133867880510785
Baden-Wurttemberg,2021-06-09,,estimate,-0.02361227184356,-0.0218319701428563,0.010618835570808,-0.0350193911532023,-0.0278458090671602,-0.0252161119332133,-0.0216983470692335,-0.0181361487968396,-0.00186217835914009
Baden-Wurttemberg,2021-06-10,,estimate,-0.0237196067615505,-0.0219850005519786,0.0105833696784285,-0.0353691948148125,-0.027941024125947,-0.0253412183179937,-0.0218457942444071,-0.0183399981028823,-0.00135489577609807
Baden-Wurttemberg,2021-06-11,,estimate,-0.0238510867406011,-0.0222014787345776,0.0105420475188838,-0.0356673947794053,-0.0280528182516692,-0.0254620805439542,-0.0220845104378981,-0.0184515133970149,-0.00202959497419121
Baden-Wurttemberg,2021-06-12,,estimate,-0.0240081915542378,-0.0224746102689665,0.0104867022705591,-0.0357667040209042,-0.028157340910768,-0.025607693497548,-0.022353973667794,-0.0187477430519132,-0.00222983066446743
Baden-Wurttemberg,2021-06-13,,estimate,-0.0243115329491805,-0.0227967041156783,0.010408447105367,-0.0360156453617842,-0.028326879547558,-0.0258436287001625,-0.0226134336685943,-0.0190169163184361,-0.00283761796003843
Baden-Wurttemberg,2021-06-14,,estimate,-0.0245063074271543,-0.0231594077470703,0.0103012223991738,-0.0361888323951518,-0.0285642402731606,-0.0260805623954103,-0.0227939639867621,-0.0192145862353226,-0.00362781057571662
Baden-Wurttemberg,2021-06-15,,estimate,-0.0245852869929526,-0.0235539162826017,0.0101648827734146,-0.0368001065837955,-0.0288499347397573,-0.0262005089236538,-0.0229313777232691,-0.0197667592384077,-0.00491046703423675
Baden-Wurttemberg,2021-06-16,,estimate,-0.0247724102341168,-0.023971167993935,0.0100069630008273,-0.0376127564494097,-0.0291353521261572,-0.0263277596184908,-0.0231775851567032,-0.0200763172444395,-0.00620558800025182
Baden-Wurttemberg,2021-06-17,,estimate,-0.0249429568919314,-0.0244020415277137,0.00984250606283656,-0.0382700514795817,-0.0292649142522547,-0.0265155653917214,-0.0233973428594457,-0.0202993597033001,-0.00740148200430132
Baden-Wurttemberg,2021-06-18,,estimate,-0.0252004551529551,-0.0248375645101063,0.00969170805948266,-0.0385537807836342,-0.0293837418772295,-0.0267118681546759,-0.0236771306871156,-0.0205828510351996,-0.00873352056617155
Baden-Wurttemberg,2021-06-19,,estimate,-0.0254447000921893,-0.0252691320239506,0.0095756510488251,-0.0393007813998865,-0.0296442418296157,-0.0268270948877449,-0.0237827826886204,-0.0208626513775603,-0.010055071714385
Baden-Wurttemberg,2021-06-20,,estimate,-0.0257449873982711,-0.0256887228960279,0.00951108158425548,-0.0404091965649844,-0.0298788610268743,-0.0271608014141951,-0.0241588277008052,-0.0210836815082155,-0.0113294444256688
Baden-Wurttemberg,2021-06-21,,estimate,-0.0259195617549122,-0.0260890975938086,0.00950584533262614,-0.0406302166910824,-0.0302181238910344,-0.0274128633669901,-0.0243926307120044,-0.021247523900234,-0.0121178003036858
Baden-Wurttemberg,2021-06-22,,estimate,-0.0260552079735607,-0.0264639661728245,0.00955669887662794,-0.0415860981847325,-0.0306269770837428,-0.0275886434135587,-0.0245358119827986,-0.0216027035125883,-0.0127244040304962
Baden-Wurttemberg,2021-06-23,,estimate,-0.026232963809703,-0.0268081256893476,0.0096504179289409,-0.0424934105089277,-0.0310757962455815,-0.0278715886570175,-0.0248039889350044,-0.0218241015829382,-0.0130887512640818
Baden-Wurttemberg,2021-06-24,,estimate,-0.0264981552115788,-0.0271175777756481,0.00976777040810337,-0.0435468854840295,-0.0311586089792111,-0.0280673935598948,-0.024942529818538,-0.0219993078578884,-0.0137341599732504
Baden-Wurttemberg,2021-06-25,,estimate,-0.0266832859650049,-0.0273896423579651,0.00988892297355955,-0.0438600998292454,-0.0314251570932679,-0.0282629100819521,-0.0251173824735105,-0.0220973549417803,-0.0139699082541548
Baden-Wurttemberg,2021-06-26,,estimate,-0.0268416864184319,-0.0276230795282592,0.00999870301225186,-0.0447320566310919,-0.031701148429168,-0.0284488720999219,-0.0251542760109852,-0.022232721392426,-0.0140340142704714
Baden-Wurttemberg,2021-06-27,,estimate,-0.0269175739899656,-0.027818219506618,0.0100905603257828,-0.0451668318653298,-0.031974247709734,-0.0286558490638035,-0.0251353707329909,-0.0223734417691364,-0.0144676605362169
Baden-Wurttemberg,2021-06-28,,estimate,-0.0269741438695302,-0.0279770848354434,0.0101685421586038,-0.0456516031388002,-0.0322770710112366,-0.0289048019598769,-0.0253599731495174,-0.0223326749677301,-0.0143823750527848
