region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Wurttemberg,2021-07-20,,estimate,4,5,4.8,0,2,3,5,7,15
Baden-Wurttemberg,2021-07-21,,estimate,4,5.1,4.8,0,2,3,5,7,14
Baden-Wurttemberg,2021-07-22,,estimate,5,6.2,5.6,0,2,4,6,9,17
Baden-Wurttemberg,2021-07-23,,estimate,3,3.8,3.8,0,1,2,4,5,11
Baden-Wurttemberg,2021-07-24,,estimate,3,4.2,4,0,1,2,4,6,12
Baden-Wurttemberg,2021-07-25,,estimate,1,1.1,1.5,0,0,0,1,2,4
Baden-Wurttemberg,2021-07-26,,estimate,0,0.8,1.2,0,0,0,1,1,3
Baden-Wurttemberg,2021-07-27,,estimate,3,4.5,4.4,0,1,2,4,6,13
Baden-Wurttemberg,2021-07-28,,estimate,3,4.5,4.2,0,1,3,4,6,13
Baden-Wurttemberg,2021-07-29,,estimate,4,5.4,5.3,0,2,3,5,8,16
Baden-Wurttemberg,2021-07-30,,estimate,2,3.4,3.4,0,1,2,3,5,10
Baden-Wurttemberg,2021-07-31,,estimate,3,3.8,4,0,1,2,4,5,11
Baden-Wurttemberg,2021-08-01,,estimate,1,0.9,1.2,0,0,0,1,1,3
Baden-Wurttemberg,2021-08-02,,estimate,0,0.7,1.1,0,0,0,1,1,3
Baden-Wurttemberg,2021-08-03,,estimate,3,3.9,3.7,0,1,2,4,6,11
Baden-Wurttemberg,2021-08-04,,estimate,3,3.9,3.9,0,1,2,4,6,11
Baden-Wurttemberg,2021-08-05,,estimate,4,4.8,4.9,0,1,3,5,6,14
Baden-Wurttemberg,2021-08-06,,estimate,2,2.8,3,0,1,2,3,4,8
Baden-Wurttemberg,2021-08-07,,estimate,2,3.3,3.2,0,1,2,3,5,10
Baden-Wurttemberg,2021-08-08,,estimate,0,0.8,1.2,0,0,0,1,1,3
Baden-Wurttemberg,2021-08-09,,estimate,0,0.7,1,0,0,0,1,1,3
Baden-Wurttemberg,2021-08-10,,estimate,3,3.6,3.7,0,1,2,3,5,10
Baden-Wurttemberg,2021-08-11,,estimate,3,3.7,3.7,0,1,2,4,5,11
Baden-Wurttemberg,2021-08-12,,estimate,3,4.3,4.4,0,1,2,4,6,13
Baden-Wurttemberg,2021-08-13,,estimate,2,2.7,2.8,0,1,1,3,4,8
Baden-Wurttemberg,2021-08-14,,estimate,2,3.3,3.4,0,1,2,3,4,10
Baden-Wurttemberg,2021-08-15,,estimate,0,0.8,1.1,0,0,0,1,1,3
Baden-Wurttemberg,2021-08-16,,estimate,0,0.6,1,0,0,0,1,1,3
Baden-Wurttemberg,2021-08-17,,estimate,3,3.6,3.6,0,1,2,3,5,11
Baden-Wurttemberg,2021-08-18,,estimate,3,3.8,3.9,0,1,2,3,5,11
Baden-Wurttemberg,2021-08-19,,estimate,3,4.5,4.6,0,1,3,4,6,13
